agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
0,1,1,T0705:06.000,425.10001,0.000000,900.0000,0,0.000000,-0.100000
0,2,4,T0720:06.000,440.10001,15.000000,900.0000,0,19.700000,-9.700000
1,1,1,T0705:14.749,425.24582,0.000000,900.2509,1,0.000000,-0.100000
1,2,4,T0720:15.000,440.25000,15.004181,900.0000,0,19.700000,-9.700000
2,1,1,T0705:23.499,425.39166,0.000000,900.0000,0,0.000000,-0.100000
2,2,4,T0720:23.499,440.39166,15.000000,900.0000,0,19.700000,-9.700000
3,1,1,T0705:29.249,425.48749,0.000000,900.7507,3,0.000000,-0.100000
3,2,4,T0720:30.000,440.50000,15.012512,900.0000,0,19.700000,-9.700000
4,1,1,T0705:38.000,425.63333,0.000000,900.0000,0,0.000000,-0.100000
4,2,4,T0720:38.000,440.63333,15.000000,900.0000,0,19.700000,-9.700000
5,1,1,T0705:47.000,425.78333,0.000000,900.0000,0,0.000000,-0.100000
5,2,4,T0720:47.000,440.78333,15.000000,900.0000,0,19.700000,-9.700000
6,1,1,T0705:52.750,425.87918,0.000000,902.2485,8,0.000000,-0.100000
6,2,4,T0720:55.000,440.91666,15.037476,900.0000,0,19.700000,-9.700000
7,1,1,T0706:01.499,426.02499,0.000000,904.5007,18,0.000000,-0.100000
7,2,4,T0721:06.000,441.10001,15.075012,900.0000,0,19.700000,-9.700000
8,1,1,T0706:10.250,426.17084,0.000000,903.7500,15,0.000000,-0.100000
8,2,4,T0721:14.000,441.23334,15.062500,900.0000,0,19.700000,-9.700000
9,1,1,T0706:16.000,426.26666,0.000000,905.0006,20,0.000000,-0.100000
9,2,4,T0721:21.000,441.35001,15.083344,900.0000,0,19.700000,-9.700000
10,1,1,T0706:25.000,426.41666,0.000000,904.0009,16,0.000000,-0.100000
10,2,4,T0721:29.000,441.48334,15.066681,900.0000,0,19.700000,-9.700000
11,1,1,T0706:33.750,426.56250,0.000000,902.2504,9,0.000000,-0.100000
11,2,4,T0721:36.000,441.60001,15.037506,900.0000,0,19.700000,-9.700000
12,1,1,T0706:39.499,426.65833,0.000000,903.5010,14,0.000000,-0.100000
12,2,4,T0721:43.000,441.71667,15.058350,900.0000,0,19.700000,-9.700000
13,1,1,T0706:48.250,426.80417,0.000000,902.7502,11,0.000000,-0.100000
13,2,4,T0721:51.000,441.85001,15.045837,900.0000,0,19.700000,-9.700000
14,1,1,T0706:57.000,426.95001,0.000000,901.9995,7,0.000000,-0.100000
14,2,4,T0721:59.000,441.98334,15.033325,900.0000,0,19.700000,-9.700000
15,1,1,T0707:03.000,427.04999,0.000000,904.0009,16,0.000000,-0.100000
15,2,4,T0722:07.000,442.11667,15.066681,900.0000,0,19.700000,-9.700000
16,1,1,T0707:11.749,427.19583,0.000000,903.2501,13,0.000000,-0.100000
16,2,4,T0722:15.000,442.25000,15.054169,900.0000,0,19.700000,-9.700000
17,1,1,T0707:20.500,427.34167,0.000000,902.4994,9,0.000000,-0.100000
17,2,4,T0722:23.000,442.38333,15.041656,900.0000,0,19.700000,-9.700000
18,1,1,T0707:26.250,427.43750,0.000000,907.7509,31,0.000000,-0.100000
18,2,4,T0722:34.000,442.56668,15.129181,900.0000,0,19.700000,-9.700000
19,1,1,T0707:35.000,427.58334,0.000000,907.0001,28,0.000000,-0.100000
19,2,4,T0722:42.000,442.70001,15.116669,900.0000,0,19.700000,-9.700000
20,1,1,T0707:44.000,427.73334,0.000000,906.0004,24,0.000000,-0.100000
20,2,4,T0722:50.000,442.83334,15.100006,900.0000,0,19.700000,-9.700000
21,1,1,T0707:49.749,427.82916,0.000000,911.2500,45,0.000000,-0.100000
21,2,4,T0723:01.000,443.01666,15.187500,900.0000,0,19.700000,-9.700000
22,1,1,T0707:58.500,427.97501,0.000000,910.4993,41,0.000000,-0.100000
22,2,4,T0723:09.000,443.14999,15.174988,900.0000,0,19.700000,-9.700000
23,1,1,T0708:07.249,428.12082,0.000000,909.7504,39,0.000000,-0.100000
23,2,4,T0723:17.000,443.28333,15.162506,900.0000,0,19.700000,-9.700000
24,1,1,T0708:13.000,428.21667,0.000000,912.9987,51,0.000000,-0.100000
24,2,4,T0723:26.000,443.43332,15.216644,900.0000,0,19.700000,-9.700000
25,1,1,T0708:22.000,428.36667,0.000000,910.9991,43,0.000000,-0.100000
25,2,4,T0723:33.000,443.54999,15.183319,900.0000,0,19.700000,-9.700000
26,1,1,T0708:30.750,428.51251,0.000000,910.2484,40,0.000000,-0.100000
26,2,4,T0723:41.000,443.68332,15.170807,900.0000,0,19.700000,-9.700000
27,1,1,T0708:36.500,428.60834,0.000000,912.5006,50,0.000000,-0.100000
27,2,4,T0723:49.000,443.81668,15.208344,900.0000,0,19.700000,-9.700000
28,1,1,T0708:45.250,428.75418,0.000000,912.7496,50,0.000000,-0.100000
28,2,4,T0723:58.000,443.96667,15.212494,900.0000,0,19.700000,-9.700000
29,1,1,T0708:54.000,428.89999,0.000000,915.9998,63,0.000000,-0.100000
29,2,4,T0724:10.000,444.16666,15.266663,900.0000,0,19.700000,-9.700000
30,1,1,T0709:00.000,429.00000,0.000000,917.9993,71,0.000000,-0.100000
30,2,4,T0724:18.000,444.29999,15.299988,900.0000,0,19.700000,-9.700000
31,1,1,T0709:08.750,429.14584,0.000000,916.2488,64,0.000000,-0.100000
31,2,4,T0724:25.000,444.41666,15.270813,900.0000,0,19.700000,-9.700000
32,1,1,T0709:17.499,429.29166,0.000000,915.4999,61,0.000000,-0.100000
32,2,4,T0724:33.000,444.54999,15.258331,900.0000,0,19.700000,-9.700000
33,1,1,T0709:23.250,429.38751,0.000000,917.7484,70,0.000000,-0.100000
33,2,4,T0724:41.000,444.68332,15.295807,900.0000,0,19.700000,-9.700000
34,1,1,T0709:32.000,429.53333,0.000000,917.0013,68,0.000000,-0.100000
34,2,4,T0724:49.000,444.81668,15.283356,900.0000,0,19.700000,-9.700000
35,1,1,T0709:41.000,429.68332,0.000000,917.0013,68,0.000000,-0.100000
35,2,4,T0724:58.000,444.96667,15.283356,900.0000,0,19.700000,-9.700000
36,1,1,T0709:46.750,429.77917,0.000000,919.2499,76,0.000000,-0.100000
36,2,4,T0725:06.000,445.10001,15.320831,900.0000,0,19.700000,-9.700000
37,1,1,T0709:55.499,429.92499,0.000000,917.5012,70,0.000000,-0.100000
37,2,4,T0725:13.000,445.21667,15.291687,900.0000,0,19.700000,-9.700000
38,1,1,T0710:04.249,430.07083,0.000000,917.7502,71,0.000000,-0.100000
38,2,4,T0725:22.000,445.36667,15.295837,900.0000,0,19.700000,-9.700000
39,1,1,T0710:10.000,430.16666,0.000000,920.0006,80,0.000000,-0.100000
39,2,4,T0725:30.000,445.50000,15.333344,900.0000,0,19.700000,-9.700000
40,1,1,T0710:19.000,430.31668,0.000000,920.9985,83,0.000000,-0.100000
40,2,4,T0725:40.000,445.66666,15.349976,900.0000,0,19.700000,-9.700000
41,1,1,T0710:27.749,430.46249,0.000000,920.2496,80,0.000000,-0.100000
41,2,4,T0725:48.000,445.79999,15.337494,900.0000,0,19.700000,-9.700000
42,1,1,T0710:33.499,430.55832,0.000000,922.5000,90,0.000000,-0.100000
42,2,4,T0725:56.000,445.93332,15.375000,900.0000,0,19.700000,-9.700000
43,1,1,T0710:42.249,430.70416,0.000000,923.7506,95,0.000000,-0.100000
43,2,4,T0726:06.000,446.10001,15.395844,900.0000,0,19.700000,-9.700000
44,1,1,T0710:51.000,430.85001,0.000000,923.9996,95,0.000000,-0.100000
44,2,4,T0726:15.000,446.25000,15.399994,900.0000,0,19.700000,-9.700000
45,1,1,T0710:57.000,430.95001,0.000000,926.9989,107,0.000000,-0.100000
45,2,4,T0726:24.000,446.39999,15.449982,900.0000,0,19.700000,-9.700000
46,1,1,T0711:05.749,431.09583,0.000000,925.2502,101,0.000000,-0.100000
46,2,4,T0726:31.000,446.51666,15.420837,900.0000,0,19.700000,-9.700000
47,1,1,T0711:14.500,431.24167,0.000000,923.4998,93,0.000000,-0.100000
47,2,4,T0726:38.000,446.63333,15.391663,900.0000,0,19.700000,-9.700000
48,1,1,T0711:20.249,431.33749,0.000000,924.7504,99,0.000000,-0.100000
48,2,4,T0726:45.000,446.75000,15.412506,900.0000,0,19.700000,-9.700000
49,1,1,T0711:29.000,431.48334,0.000000,924.9994,99,0.000000,-0.100000
49,2,4,T0726:54.000,446.89999,15.416656,900.0000,0,19.700000,-9.700000
50,1,1,T0711:38.000,431.63333,0.000000,923.9996,95,0.000000,-0.100000
50,2,4,T0727:02.000,447.03333,15.399994,900.0000,0,19.700000,-9.700000
51,1,1,T0711:43.749,431.72916,0.000000,925.2502,101,0.000000,-0.100000
51,2,4,T0727:09.000,447.14999,15.420837,900.0000,0,19.700000,-9.700000
52,1,1,T0711:52.500,431.87500,0.000000,923.4998,93,0.000000,-0.100000
52,2,4,T0727:16.000,447.26666,15.391663,900.0000,0,19.700000,-9.700000
53,1,1,T0712:01.250,432.02084,0.000000,922.7490,90,0.000000,-0.100000
53,2,4,T0727:24.000,447.39999,15.379150,900.0000,0,19.700000,-9.700000
54,1,1,T0712:07.000,432.11667,0.000000,925.9991,103,0.000000,-0.100000
