route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color,route_color,route_url,route_desc
257122,ZZ,Z:DCL->BFC,Z train service from DCL to BFC,2,,,,Train. Standard class only. Reservation not possible
257146,ZZ,Z:BFC->DCL,Z train service from BFC to DCL,2,,,,Train. Standard class only. Reservation not possible
257155,ZZ,Z:DCL->SLI,Z train service from DCL to SLI,2,,,,Train. Standard class only. Reservation not possible
257162,ZZ,Z:DCL->LFO,Z train service from DCL to LFO,2,,,,Train. Standard class only. Reservation not possible
257165,ZZ,Z:LFO->DCL,Z train service from LFO to DCL,2,,,,Train. Standard class only. Reservation not possible
257167,ZZ,Z:SLI->DCL,Z train service from SLI to DCL,2,,,,Train. Standard class only. Reservation not possible
257175,ZZ,Z:ATO->WPT,Z train service from ATO to WPT,2,,,,Train. Standard class only. Reservation not possible
257176,ZZ,Z:DHT->WPT,Z train service from DHT to WPT,2,,,,Train. Standard class only. Reservation not possible
257182,ZZ,Z:ATO->DHT,Z train service from ATO to DHT,2,,,,Train. Standard class only. Reservation not possible
257184,ZZ,Z:WPT->DHT,Z train service from WPT to DHT,2,,,,Train. Standard class only. Reservation not possible
257195,ZZ,Z:BAX->BAX,Z train service from BAX to BAX,2,,,,Train. Standard class only. Reservation not possible
257208,ZZ,Z:ATO->GWY,Z train service from ATO to GWY,2,,,,Train. Standard class only. Reservation not possible
257209,ZZ,Z:DHT->GWY,Z train service from DHT to GWY,2,,,,Train. Standard class only. Reservation not possible
257218,ZZ,Z:GWY->DHT,Z train service from GWY to DHT,2,,,,Train. Standard class only. Reservation not possible
257227,ZZ,Z:GWY->ATO,Z train service from GWY to ATO,2,,,,Train. Standard class only. Reservation not possible
257231,ZZ,Z:DHT->COK,Z train service from DHT to COK,2,,,,Train. Standard class only. Reservation not possible
257258,ZZ,Z:COK->DHT,Z train service from COK to DHT,2,,,,Train. Standard class only. Reservation not possible
257274,ZZ,Z:COK->TRL,Z train service from COK to TRL,2,,,,Train. Standard class only. Reservation not possible
