stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5/0,PEC=05,                         F,,0,0,,,,,Europe/London,0
AAP,ALEXNDP,Alexandra Palace,1,51.59792,-0.12024,,,,,Europe/London,0
AAT,ACHANLT,Achanalt,0,57.6096,-4.91385,,,,,Europe/London,0
ABA,ABDARE,Aberdare,0,51.71506,-3.44308,,,,,Europe/London,0
ABC,ALTNBRC,Altnabreac,0,58.38815,-3.70628,,,,,Europe/London,0
ABD,ABRDEEN,Aberdeen,2,57.1437,-2.09869,,,,,Europe/London,0
ABE,ABER,Aber,0,51.57497,-3.22983,,,,,Europe/London,0
ABF,ASHUBUS,Ashurst (Kent) - Bald Faced Stag PH,1,51.13071,0.15846,,,,,Europe/London,0
ABH,ABRE,Abererch,0,52.89858,-4.37418,,,,,Europe/London,0
ABW,ABWD,Abbey Wood (London),0,51.49106,0.12139,,,,,Europe/London,0
ABY,ASHBRYS,Ashburys,1,53.47164,-2.19444,,,,,Europe/London,0
ACB,ACBG,Acton Bridge,0,53.26651,-2.60313,,,,,Europe/London,0
ACC,ACTNCTL,Acton Central,0,51.50872,-0.26297,,,,,Europe/London,0
ACG,ACOCKSG,Acocks Green,0,52.44932,-1.81898,,,,,Europe/London,0
ACH,ACHHSHL,Achnashellach,0,57.48207,-5.33306,,,,,Europe/London,0
ACK,ACKLNGT,Acklington,0,55.3071,-1.65183,,,,,Europe/London,0
ACL,ACLE,Acle,0,52.63468,1.54392,,,,,Europe/London,0
ACN,ACHNSHN,Achnasheen,0,57.57929,-5.07233,,,,,Europe/London,0
ACR,ACRNGTN,Accrington,1,53.75297,-2.36955,,,,,Europe/London,0
ACT,ASCOT,Ascot,2,51.40624,-0.67583,,,,,Europe/London,0
ACY,ABRCYNS,Abercynon,1,51.64345,-3.32857,,,,,Europe/London,0
ADC,ADLC,Adlington (Cheshire),0,53.31955,-2.13356,,,,,Europe/London,0
ADD,ADERLYP,Adderley Park,0,52.48309,-1.85594,,,,,Europe/London,0
ADK,ARDWICK,Ardwick,0,53.47155,-2.21432,,,,,Europe/London,0
ADL,ADNL,Adlington (Lancs),0,53.61324,-2.60307,,,,,Europe/London,0
ADM,ADISHAM,Adisham,0,51.2412,1.19909,,,,,Europe/London,0
ADN,ARDRSTN,Ardrossan Town,0,55.63971,-4.81268,,,,,Europe/London,0
ADR,AIRDRIE,Airdrie,1,55.86398,-3.98291,,,,,Europe/London,0
ADS,ARDRSHB,Ardrossan Harbour,1,55.63987,-4.82111,,,,,Europe/London,0
ADV,ANDOVER,Andover,2,51.21155,-1.49223,,,,,Europe/London,0
ADW,ADIEWEL,Addiewell,0,55.84341,-3.60653,,,,,Europe/London,0
AFK,ASHFKY,Ashford International,2,51.14371,0.8762,,,,,Europe/London,0
AFS,ASFDMSX,Ashford (Surrey),0,51.43651,-0.46807,,,,,Europe/London,0
AFV,ANSDELL,Ansdell & Fairhaven,0,53.74146,-2.99303,,,,,Europe/London,0
AGL,ABGLELE,Abergele & Pensarn,0,53.29457,-3.58262,,,,,Europe/London,0
AGS,ARGYLST,Argyle Street,0,55.8573,-4.25069,,,,,Europe/London,0
AGT,ALDTON,Aldrington,0,50.83638,-0.18382,,,,,Europe/London,0
AGV,ABRGVNY,Abergavenny,2,51.81669,-3.00965,,,,,Europe/London,0
AHD,ASHD,Ashtead,0,51.31787,-0.30757,,,,,Europe/London,0
AHN,ASHONUL,Ashton-under-Lyne,0,53.49127,-2.09431,,,,,Europe/London,0
AHS,ASHURST,Ashurst (Kent),0,51.12866,0.15265,,,,,Europe/London,0
AHT,ALDRSHT,Aldershot,2,51.24642,-0.75986,,,,,Europe/London,0
AHV,ASHVALE,Ash Vale,2,51.27225,-0.72165,,,,,Europe/London,0
AIG,AIGBURT,Aigburth,0,53.36456,-2.92715,,,,,Europe/London,0
AIN,AINTREE,Aintree,0,53.47391,-2.95628,,,,,Europe/London,0
AIR,AIRBLES,Airbles,0,55.78283,-3.99419,,,,,Europe/London,0
ALB,ALBRGHT,Albrighton,0,52.63794,-2.2689,,,,,Europe/London,0
ALD,ALDEDGE,Alderley Edge,2,53.30378,-2.2368,,,,,Europe/London,0
ALF,ALFRETN,Alfreton,1,53.10043,-1.3697,,,,,Europe/London,0
ALG,ALBURGH,ALDEBURGH-BUS 64,0,0,0,,,,,Europe/London,0
ALK,ASLCKTN,Aslockton,0,52.95155,-0.8981,,,,,Europe/London,0
ALM,ALNMOTH,Alnmouth,1,55.39278,-1.63664,,,,,Europe/London,0
ALN,ALTHORN,Althorne,0,51.64787,0.75248,,,,,Europe/London,0
ALO,ALLOA,Alloa,0,56.11779,-3.79006,,,,,Europe/London,0
ALP,ALTPE,Althorpe,0,53.5855,-0.73318,,,,,Europe/London,0
ALR,ALRESFD,Alresford (Essex),0,51.854,0.99744,,,,,Europe/London,0
ALT,ALTRNHM,Altrincham,2,53.38772,-2.34689,,,,,Europe/London,0
ALV,ALVCHRC,Alvechurch,0,52.34607,-1.96766,,,,,Europe/London,0
ALW,ALLENSW,Allens West,0,54.52462,-1.36112,,,,,Europe/London,0
