link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,density,geometry,notes
1,7,9,0700_0800,5.00000,0.23850,60.00000,0.00500,0,0,"LINESTRING (-122.3223299 47.6562897, -122.3222072 47.6567558, -122.3220941 47.6573678, -122.3219713 47.6584193)",period-based
2,9,558,0700_0800,4.00000,0.68478,60.00000,0.00400,0,0,"LINESTRING (-122.3219713 47.6584193, -122.3219814 47.6587537, -122.3217984 47.6611043, -122.3217811 47.6612852, -122.321765 47.6613972, -122.3217463 47.6614878, -122.3217225 47.6615849, -122.321691 47.661681, -122.3216519 47.6617758, -122.3216053 47.6618691, -122.3215513 47.6619605, -122.3210439 47.6627489, -122.3210067 47.6628202, -122.3209766 47.662893, -122.3209537 47.662967, -122.3209381 47.6630419, -122.32093 47.6631173, -122.3208519 47.6637671, -122.3207727 47.6642942, -122.3207157 47.6644637)",period-based
3,10,11,0700_0800,1.00000,0.06571,60.00000,0.00050,0,0,"LINESTRING (-122.3216691 47.6598573, -122.3216138 47.659932, -122.3215754 47.6599803, -122.3215225 47.6600302, -122.321467 47.6600791, -122.3211533 47.6603323)",period-based
4,9,10,0700_0800,1.00000,0.16202,60.00000,0.00050,0,0,"LINESTRING (-122.3219713 47.6584193, -122.3218927 47.6587447, -122.3217865 47.6595444, -122.3217735 47.6596253, -122.3217493 47.6597052, -122.3217161 47.6597794, -122.3216691 47.6598573)",period-based
5,642,6,0700_0800,3.00000,1.14629,60.00000,0.00075,0,0,"LINESTRING (-122.3226393 47.6570102, -122.3226013 47.6561808, -122.322585 47.6556797, -122.3226684 47.6511594, -122.3226994 47.64922, -122.3227094 47.6486798, -122.3227515 47.6480645, -122.322774 47.6477576, -122.3228931 47.6467065)",period-based
6,23,17,0700_0800,2.00000,0.04854,60.00000,0.00100,0,0,"LINESTRING (-122.3214226 47.6573538, -122.3213589 47.6573961, -122.3212872 47.6574238, -122.321164 47.6574636, -122.3210383 47.6574874, -122.3209629 47.6574978, -122.3208338 47.6575155)",period-based
7,17,23,0700_0800,5.00000,0.04854,60.00000,0.00500,0,0,"LINESTRING (-122.3208338 47.6575155, -122.3209629 47.6574978, -122.3210383 47.6574874, -122.321164 47.6574636, -122.3212872 47.6574238, -122.3213589 47.6573961, -122.3214226 47.6573538)",period-based
8,5,662,0700_0800,5.00000,0.11974,60.00000,0.00125,0,0,"LINESTRING (-122.3224229 47.6466995, -122.3224048 47.6477763)",period-based
9,662,7,0700_0800,5.00000,0.94672,60.00000,0.00125,0,0,"LINESTRING (-122.3224048 47.6477763, -122.3224352 47.6492751, -122.3223482 47.6560075, -122.3223299 47.6562897)",period-based
10,24,575,0700_0800,2.00000,0.15966,60.00000,0.00200,0,0,"LINESTRING (-122.3224548 47.6556961, -122.3223491 47.6560351, -122.3222443 47.6563216, -122.3221283 47.6565476, -122.3220115 47.6566937, -122.3217318 47.6570344)",period-based
11,575,24,0700_0800,5.00000,0.15966,60.00000,0.00500,0,0,"LINESTRING (-122.3217318 47.6570344, -122.3220115 47.6566937, -122.3221283 47.6565476, -122.3222443 47.6563216, -122.3223491 47.6560351, -122.3224548 47.6556961)",period-based
12,58,59,0700_0800,0.00000,0.80818,60.00000,0.00000,0,0,"LINESTRING (-122.3226507 47.6467029, -122.3225758 47.6485001, -122.3225385 47.6511199, -122.3224808 47.6539699)",period-based
13,59,58,0700_0800,1.00000,0.80818,60.00000,0.00050,0,0,"LINESTRING (-122.3224808 47.6539699, -122.3225385 47.6511199, -122.3225758 47.6485001, -122.3226507 47.6467029)",period-based
14,27,26,0700_0800,16.00000,0.06915,60.00000,0.01600,0,0,"LINESTRING (-122.3224858 47.6629897, -122.3224978 47.6628668, -122.3225475 47.6627368, -122.3226507 47.6625489, -122.3227366 47.6623953)",period-based
15,906,27,0700_0800,16.00000,0.50886,60.00000,0.01600,0,0,"LINESTRING (-122.3225632 47.6675654, -122.322471 47.6636454, -122.3224858 47.6629897)",period-based
16,907,645,0700_0800,13.00000,0.26149,60.00000,0.01300,0,0,"LINESTRING (-122.3225951 47.6675654, -122.3226051 47.6673475, -122.3228237 47.6655051, -122.3228704 47.6652215)",period-based
17,28,499,0700_0800,6.00000,0.04166,60.00000,0.00600,0,0,"LINESTRING (-122.3207388 47.661721, -122.320766 47.6617745, -122.3207993 47.6618377, -122.3208409 47.6619099, -122.3209357 47.6620713)",period-based
18,896,715,0700_0800,31.00000,0.08315,60.00000,0.01550,0,0,"LINESTRING (-122.3097324 47.6612523, -122.3097303 47.661183, -122.3097297 47.6611622, -122.3097363 47.6608092, -122.3097418 47.6605046)",period-based
19,29,704,0700_0800,20.00000,0.06230,60.00000,0.02000,0,0,"LINESTRING (-122.3096608 47.6597571, -122.3094675 47.6597543, -122.309 47.6597598, -122.3089569 47.6597607, -122.3088805 47.6597624, -122.3088291 47.6597618)",period-based
20,704,29,0700_0800,13.00000,0.06230,60.00000,0.01300,0,0,"LINESTRING (-122.3088291 47.6597618, -122.3088805 47.6597624, -122.3089569 47.6597607, -122.309 47.6597598, -122.3094675 47.6597543, -122.3096608 47.6597571)",period-based
