zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-122.3350657544024,47.66462711698113,"POLYGON ((-122.34132 47.66303,-122.34132 47.66759,-122.33077999999999 47.66759,-122.33077999999999 47.66303,-122.34132 47.66303))",POINT (-122.3350657544024 47.66462711698113),306,759.1850138361026,626.3397809907523
2,A2,-122.32634941846771,47.66476568860509,"POLYGON ((-122.33077999999999 47.66303,-122.33077999999999 47.66759,-122.32023999999998 47.66759,-122.32023999999998 47.66303,-122.33077999999999 47.66303))",POINT (-122.32634941846771 47.66476568860509),496,870.0863297182075,960.7387775490429
3,A3,-122.31510757897296,47.6650917821516,"POLYGON ((-122.32023999999998 47.66303,-122.32023999999998 47.66759,-122.30969999999998 47.66759,-122.30969999999998 47.66303,-122.32023999999998 47.66303))",POINT (-122.31510757897296 47.6650917821516),394,1615.554558695129,1498.990396928313
4,A4,-122.30556151570445,47.66532612886835,"POLYGON ((-122.30969999999998 47.66303,-122.30969999999998 47.66759,-122.29915999999997 47.66759,-122.29915999999997 47.66303,-122.30969999999998 47.66303))",POINT (-122.30556151570445 47.66532612886835),407,1458.6778132031554,1681.7809642714496
5,A5,-122.29321164054795,47.66505787534246,"POLYGON ((-122.29915999999997 47.66303,-122.29915999999997 47.66759,-122.28861999999997 47.66759,-122.28861999999997 47.66303,-122.29915999999997 47.66303))",POINT (-122.29321164054795 47.66505787534246),346,927.8084387076294,1550.5467464119608
6,B1,-122.33461653274026,47.6606219355872,"POLYGON ((-122.3413221 47.65847,-122.3413221 47.66303,-122.3307821 47.66303,-122.3307821 47.65847,-122.3413221 47.65847))",POINT (-122.33461653274026 47.6606219355872),539,2133.395504877881,1708.8556627072471
7,B2,-122.32651485450381,47.66070280015266,"POLYGON ((-122.3307821 47.65847,-122.3307821 47.66303,-122.32024209999999 47.66303,-122.32024209999999 47.65847,-122.3307821 47.65847))",POINT (-122.32651485450381 47.66070280015266),632,1248.609238762208,1597.6703776620545
8,B3,-122.31570198035085,47.66049944035085,"POLYGON ((-122.32024209999999 47.65847,-122.32024209999999 47.66303,-122.30970209999998 47.66303,-122.30970209999998 47.65847,-122.32024209999999 47.65847))",POINT (-122.31570198035085 47.66049944035085),280,1628.9535603170943,2642.5171837875714
9,B4,-122.30545832869564,47.661551841739126,"POLYGON ((-122.30970209999998 47.65847,-122.30970209999998 47.66303,-122.29916209999998 47.66303,-122.29916209999998 47.65847,-122.30970209999998 47.65847))",POINT (-122.30545832869564 47.661551841739126),114,911.8047188761598,2023.8586607021568
10,B5,-122.29149731955307,47.66116737206702,"POLYGON ((-122.29916209999998 47.65847,-122.29916209999998 47.66303,-122.28862209999997 47.66303,-122.28862209999997 47.65847,-122.29916209999998 47.65847))",POINT (-122.29149731955307 47.66116737206702),163,715.7666457399743,2859.317477777919
11,C1,-122.33522182456142,47.65596815248541,"POLYGON ((-122.3413221 47.65391,-122.3413221 47.65847,-122.3307821 47.65847,-122.3307821 47.65391,-122.3413221 47.65391))",POINT (-122.33522182456142 47.65596815248541),654,1571.7404814372928,1307.927855263244
12,C2,-122.32660885658788,47.656524434459456,"POLYGON ((-122.3307821 47.65391,-122.3307821 47.65847,-122.32024209999999 47.65847,-122.32024209999999 47.65391,-122.3307821 47.65391))",POINT (-122.32660885658788 47.656524434459456),569,1399.4693718455035,1533.3949353220596
13,C3,-122.31561868092783,47.656499285051545,"POLYGON ((-122.32024209999999 47.65391,-122.32024209999999 47.65847,-122.30970209999998 47.65847,-122.30970209999998 47.65391,-122.32024209999999 47.65391))",POINT (-122.31561868092783 47.656499285051545),183,1466.341932453306,1665.2630223477959
14,C4,-122.30536102676061,47.6557213971831,"POLYGON ((-122.30970209999998 47.65391,-122.30970209999998 47.65847,-122.29916209999998 47.65847,-122.29916209999998 47.65391,-122.30970209999998 47.65391))",POINT (-122.30536102676061 47.6557213971831),71,1257.4481289164416,1492.0979419490225
15,C5,-122.29365421578946,47.656990263157894,"POLYGON ((-122.29916209999998 47.65391,-122.29916209999998 47.65847,-122.28862209999997 47.65847,-122.28862209999997 47.65391,-122.29916209999998 47.65391))",POINT (-122.29365421578946 47.656990263157894),17,866.8345479100416,274.6246921874432
16,D1,-122.33583638959455,47.65167640918918,"POLYGON ((-122.3413221 47.649350000000005,-122.3413221 47.65391,-122.3307821 47.65391,-122.3307821 47.649350000000005,-122.3413221 47.649350000000005))",POINT (-122.33583638959455 47.65167640918918),713,1325.1536833221437,1345.5699366229562
17,D2,-122.32547413489586,47.651620008854195,"POLYGON ((-122.3307821 47.649350000000005,-122.3307821 47.65391,-122.32024209999999 47.65391,-122.32024209999999 47.649350000000005,-122.3307821 47.649350000000005))",POINT (-122.32547413489586 47.651620008854195),183,541.4853328253437,867.8008221025342
18,D3,-122.3163779920529,47.65112617615895,"POLYGON ((-122.32024209999999 47.649350000000005,-122.32024209999999 47.65391,-122.30970209999998 47.65391,-122.30970209999998 47.649350000000005,-122.32024209999999 47.649350000000005))",POINT (-122.3163779920529 47.65112617615895),148,1057.8774177008454,1127.528550644986
19,D4,-122.30477274925373,47.652082859701494,"POLYGON ((-122.30970209999998 47.649350000000005,-122.30970209999998 47.65391,-122.29916209999998 47.65391,-122.29916209999998 47.649350000000005,-122.30970209999998 47.649350000000005))",POINT (-122.30477274925373 47.652082859701494),67,1123.0200522828613,1079.6592107673794
20,D5,-122.29389209999997,47.651630000000004,"POLYGON ((-122.29916209999998 47.649350000000005,-122.29916209999998 47.65391,-122.28862209999997 47.65391,-122.28862209999997 47.649350000000005,-122.29916209999998 47.649350000000005))",POINT (-122.29389209999997 47.651630000000004),0,0.0,0.0
21,E1,-122.33575934610793,47.64762915389221,"POLYGON ((-122.3413221 47.64479000000001,-122.3413221 47.649350000000005,-122.3307821 47.649350000000005,-122.3307821 47.64479000000001,-122.3413221 47.64479000000001))",POINT (-122.33575934610793 47.64762915389221),156,651.440645235213,899.6794538274683
