[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,25nb
[STATUS INFO] scenario_index=1,scenario_name=,2040
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
,demand_period= 2, md,time_period=1200_1300
,demand_period= 3, pm,time_period=1600_1700
[PROCESS INFO] Step 1.2: Reading file mode_type.csv...
mode_type =, auto, real time info flag = 0
link_type =, 1, link_type_name = highway
,mode_type= auto,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 24
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,48
,# of links =,76
,# of zones =,24
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,1,highway,76,60,96.5604,314,778788,10247.2,4131.58,
,,-1,,,,1,highway,pre-read demand_file_list.csv.
,first stage scanning
,# of inside zones = 24, total_related_demand = 360600
,# inside_zone_count = 24, total_related_demand_from_internal zones = 360600
,# related_external_zone_count = 0, external related demand = 0
,# related_external_zone_count_with_significant_volume = 0
 During the second stage of cut off, the cut off zone includes all inside zones along with significant external related zones.
,# cut off zone size = 24, total_related_demand_from_external_cutoff  = 0
,cut off volume threshold to determine significance = 0.External origin zones with a volume larger than this threshold will be retained.
, remaining external related demand percentage after the cut off  = 0 %
[PROCESS INFO] Step 2.1: read demand, defined in demand_file_list.csv.
[STATUS INFO] reading demand file for scenario index = 0
,total demand =, 360600
,summary by multi-modal and demand types,demand_period,mode_type,total demmand volume in scenario 0, # of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,360600,76,60,96.5604,314,778788,10247.2,4131.58,
,,md,auto,0,76,60,96.5604,314,778788,10247.2,4131.58,
,,pm,auto,0,76,60,96.5604,314,778788,10247.2,4131.58,
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,360600
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,16,10,3,3,auto,am,4400
,,2,10,16,3,3,auto,am,4400
,,3,10,15,3,3,auto,am,4000
,,4,10,11,3,3,auto,am,4000
,,5,15,10,3,3,auto,am,4000
,,6,11,10,3,3,auto,am,3900
,,7,17,10,3,3,auto,am,3900
,,8,10,17,3,3,auto,am,3900
,,9,16,17,3,3,auto,am,2800
,,10,17,16,3,3,auto,am,2800
,,11,9,10,3,3,auto,am,2800
,,12,10,9,3,3,auto,am,2800
,,13,22,10,3,3,auto,am,2600
,,14,10,22,3,3,auto,am,2600
,,15,22,15,3,3,auto,am,2600
,,16,15,22,3,3,auto,am,2600
,,17,10,20,3,3,auto,am,2500
,,18,20,10,3,3,auto,am,2500
,,19,22,20,3,3,auto,am,2400
,,20,20,22,3,3,auto,am,2400
,,21,16,8,3,3,auto,am,2200
,,22,8,16,3,3,auto,am,2200
,,23,23,22,3,3,auto,am,2100
,,24,10,14,3,3,auto,am,2100
,,25,22,23,3,3,auto,am,2100
,,26,14,10,3,3,auto,am,2100
,,27,10,12,3,3,auto,am,2000
,,28,12,10,3,3,auto,am,2000
,,29,10,7,3,3,auto,am,1900
,,30,7,10,3,3,auto,am,1900
,,31,10,13,3,3,auto,am,1900
,,32,13,10,3,3,auto,am,1900
,,33,10,19,3,3,auto,am,1800
,,34,10,23,3,3,auto,am,1800
,,35,23,10,3,3,auto,am,1800
,,36,22,21,3,3,auto,am,1800
,,37,19,10,3,3,auto,am,1800
,,38,21,22,3,3,auto,am,1800
,,39,20,17,3,3,auto,am,1700
,,40,17,22,3,3,auto,am,1700
,,41,22,17,3,3,auto,am,1700
,,42,17,20,3,3,auto,am,1700
,,43,17,19,3,3,auto,am,1700
,,44,19,17,3,3,auto,am,1700
,,45,20,16,3,3,auto,am,1600
,,46,8,10,3,3,auto,am,1600
,,47,11,14,3,3,auto,am,1600
,,48,10,8,3,3,auto,am,1600
,,49,16,20,3,3,auto,am,1600
,,50,14,11,3,3,auto,am,1600
,,51,11,4,3,3,auto,am,1500
,,52,17,15,3,3,auto,am,1500
,,53,15,17,3,3,auto,am,1500
,,54,11,12,3,3,auto,am,1400
,,55,12,11,3,3,auto,am,1400
,,56,8,17,3,3,auto,am,1400
,,57,11,15,3,3,auto,am,1400
,,58,11,16,3,3,auto,am,1400
,,59,16,9,3,3,auto,am,1400
,,60,16,11,3,3,auto,am,1400
,,61,16,7,3,3,auto,am,1400
,,62,7,16,3,3,auto,am,1400
,,63,17,8,3,3,auto,am,1400
,,64,15,11,3,3,auto,am,1400
,,65,11,9,3,3,auto,am,1400
,,66,9,16,3,3,auto,am,1400
,,67,4,11,3,3,auto,am,1400
,,68,9,11,3,3,auto,am,1400
,,69,22,13,3,3,auto,am,1300
,,70,14,15,3,3,auto,am,1300
,,71,23,11,3,3,auto,am,1300
,,72,13,12,3,3,auto,am,1300
,,73,13,22,3,3,auto,am,1300
,,74,11,23,3,3,auto,am,1300
,,75,15,14,3,3,auto,am,1300
,,76,10,1,3,3,auto,am,1300
,,77,1,10,3,3,auto,am,1300
,,78,12,13,3,3,auto,am,1300
,,79,16,19,3,3,auto,am,1300
,,80,19,16,3,3,auto,am,1300
,,81,4,10,3,3,auto,am,1200
,,82,22,14,3,3,auto,am,1200
,,83,22,16,3,3,auto,am,1200
,,84,14,22,3,3,auto,am,1200
,,85,21,10,3,3,auto,am,1200
,,86,22,19,3,3,auto,am,1200
,,87,20,21,3,3,auto,am,1200
,,88,20,19,3,3,auto,am,1200
,,89,19,22,3,3,auto,am,1200
,,90,19,20,3,3,auto,am,1200
,,91,10,21,3,3,auto,am,1200
,,92,16,15,3,3,auto,am,1200
,,93,10,4,3,3,auto,am,1200
,,94,15,16,3,3,auto,am,1200
,,95,16,22,3,3,auto,am,1200
,,96,21,20,3,3,auto,am,1200
,,97,24,22,3,3,auto,am,1100
,,98,22,11,3,3,auto,am,1100
,,99,20,15,3,3,auto,am,1100
,,100,23,14,3,3,auto,am,1100
[PROCESS INFO]Step 4: Column Generation for Traffic Assignment
,Total number of column generation iterations =, 100
,Total number of column generation iterations =, 100
,read dynamic traffic managementscenario
, # of lane closure records in dynamic_traffic_management.csv=,0,
, # of dms records in dynamic_traffic_management.csv=,0,
[DATA INFO] Iteration, CPU running time (sec), # of agents, Avg Travel Time(min),  Avg UE gap %
0,0,360600,0,0
1,0,360600,0,0
2,0,360600,197.639,935.579
3,0,360600,197.639,935.579
4,0,360600,58.6276,134.418
5,0,360600,105.434,328.496
6,0,360600,60.4358,150.676
7,0.001,360600,48.5935,78.2624
8,0,360600,49.7661,75.572
9,0,360600,44.3476,53.2961
10,0,360600,39.8811,39.4024
11,0,360600,36.1337,27.5356
12,0,360600,34.2591,26.2793
13,0,360600,32.4391,22.8419
14,0,360600,31.0138,18.4934
15,0,360600,29.9946,15.7895
16,0,360600,29.2031,14.5353
17,0,360600,28.4523,13.0705
18,0,360600,27.7833,12.4217
19,0,360600,27.2314,11.6497
20,0,360600,26.7965,11.0638
21,0,360600,26.44,10.5326
22,0,360600,26.0855,9.71352
23,0,360600,25.7916,9.66448
24,0,360600,25.5158,9.22628
25,0,360600,25.2341,8.42058
26,0,360600,25.0081,8.40054
27,0,360600,24.8238,8.23687
28,0,360600,24.6188,7.41784
29,0,360600,24.4428,7.27646
30,0,360600,24.309,7.12743
31,0,360600,24.1704,6.62262
32,0,360600,24.0317,6.43727
33,0,360600,23.9016,6.42149
34,0,360600,23.7881,6.09105
35,0,360600,23.698,5.96257
36,0,360600,23.5964,5.87492
37,0,360600,23.4857,5.62209
38,0,360600,23.4087,5.48871
39,0,360600,23.3433,5.38278
40,0,360600,23.2491,5.12585
41,0.002,360600,23.1692,5.05736
42,0,360600,23.1151,4.89785
43,0,360600,23.0606,4.71499
44,0,360600,23.0101,4.66157
45,0,360600,22.954,4.52925
46,0,360600,22.8961,4.36853
47,0,360600,22.8575,4.37858
48,0,360600,22.7928,4.30382
49,0.001,360600,22.7251,4.23394
50,0,360600,22.6737,4.09037
51,0,360600,22.6367,4.159
52,0,360600,22.6031,3.93581
53,0,360600,22.5712,3.82239
54,0,360600,22.5353,3.68544
55,0,360600,22.4943,3.67832
56,0,360600,22.4546,3.55319
57,0,360600,22.4182,3.50309
58,0,360600,22.3968,3.53948
