o_zone_id,d_zone_id,distance,geometry
1,2,3.0010,"LINESTRING (-96.770420 43.612828,-96.711251 43.605813,)"
1,3,2.7627,"LINESTRING (-96.770420 43.612828,-96.774303 43.572962,)"
1,4,3.5931,"LINESTRING (-96.770420 43.612828,-96.747168 43.563654,)"
1,5,3.8938,"LINESTRING (-96.770420 43.612828,-96.731569 43.564034,)"
1,6,3.4208,"LINESTRING (-96.770420 43.612828,-96.711644 43.587586,)"
1,7,5.1312,"LINESTRING (-96.770420 43.612828,-96.693423 43.563844,)"
1,8,4.5746,"LINESTRING (-96.770420 43.612828,-96.711382 43.562324,)"
1,9,4.8543,"LINESTRING (-96.770420 43.612828,-96.731241 43.548596,)"
1,10,5.0616,"LINESTRING (-96.770420 43.612828,-96.731438 43.545271,)"
1,11,4.8935,"LINESTRING (-96.770420 43.612828,-96.746841 43.544131,)"
1,12,4.7868,"LINESTRING (-96.770420 43.612828,-96.780137 43.543941,)"
1,13,8.5199,"LINESTRING (-96.770420 43.612828,-96.793377 43.490707,)"
1,14,5.8547,"LINESTRING (-96.770420 43.612828,-96.751035 43.529306,)"
1,15,6.0876,"LINESTRING (-96.770420 43.612828,-96.731504 43.529401,)"
1,16,5.4415,"LINESTRING (-96.770420 43.612828,-96.711382 43.546744,)"
1,17,5.7623,"LINESTRING (-96.770420 43.612828,-96.711382 43.541280,)"
1,18,5.9568,"LINESTRING (-96.770420 43.612828,-96.694078 43.546744,)"
1,19,6.4707,"LINESTRING (-96.770420 43.612828,-96.711316 43.529591,)"
1,20,7.3638,"LINESTRING (-96.770420 43.612828,-96.711185 43.515333,)"
1,21,7.3454,"LINESTRING (-96.770420 43.612828,-96.730979 43.510485,)"
1,22,7.0510,"LINESTRING (-96.770420 43.612828,-96.731241 43.514858,)"
1,23,6.8426,"LINESTRING (-96.770420 43.612828,-96.750904 43.514858,)"
1,24,7.6550,"LINESTRING (-96.770420 43.612828,-96.749200 43.503164,)"
2,1,3.0010,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828,)"
2,3,3.8889,"LINESTRING (-96.711251 43.605813,-96.774303 43.572962,)"
2,4,3.4246,"LINESTRING (-96.711251 43.605813,-96.747168 43.563654,)"
2,5,3.0621,"LINESTRING (-96.711251 43.605813,-96.731569 43.564034,)"
2,6,1.2602,"LINESTRING (-96.711251 43.605813,-96.711644 43.587586,)"
2,7,3.0355,"LINESTRING (-96.711251 43.605813,-96.693423 43.563844,)"
2,8,3.0063,"LINESTRING (-96.711251 43.605813,-96.711382 43.562324,)"
2,9,4.0800,"LINESTRING (-96.711251 43.605813,-96.731241 43.548596,)"
2,10,4.3055,"LINESTRING (-96.711251 43.605813,-96.731438 43.545271,)"
2,11,4.6215,"LINESTRING (-96.711251 43.605813,-96.746841 43.544131,)"
2,12,5.4950,"LINESTRING (-96.711251 43.605813,-96.780137 43.543941,)"
2,13,8.9580,"LINESTRING (-96.711251 43.605813,-96.793377 43.490707,)"
2,14,5.6517,"LINESTRING (-96.711251 43.605813,-96.751035 43.529306,)"
2,15,5.3787,"LINESTRING (-96.711251 43.605813,-96.731504 43.529401,)"
2,16,4.0833,"LINESTRING (-96.711251 43.605813,-96.711382 43.546744,)"
2,17,4.4610,"LINESTRING (-96.711251 43.605813,-96.711382 43.541280,)"
2,18,4.1729,"LINESTRING (-96.711251 43.605813,-96.694078 43.546744,)"
2,19,5.2690,"LINESTRING (-96.711251 43.605813,-96.711316 43.529591,)"
2,20,6.2546,"LINESTRING (-96.711251 43.605813,-96.711185 43.515333,)"
2,21,6.6635,"LINESTRING (-96.711251 43.605813,-96.730979 43.510485,)"
2,22,6.3667,"LINESTRING (-96.711251 43.605813,-96.731241 43.514858,)"
2,23,6.5938,"LINESTRING (-96.711251 43.605813,-96.750904 43.514858,)"
2,24,7.3461,"LINESTRING (-96.711251 43.605813,-96.749200 43.503164,)"
3,1,2.7627,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828,)"
3,2,3.8889,"LINESTRING (-96.774303 43.572962,-96.711251 43.605813,)"
3,4,1.5037,"LINESTRING (-96.774303 43.572962,-96.747168 43.563654,)"
3,5,2.2276,"LINESTRING (-96.774303 43.572962,-96.731569 43.564034,)"
3,6,3.2966,"LINESTRING (-96.774303 43.572962,-96.711644 43.587586,)"
3,7,4.0998,"LINESTRING (-96.774303 43.572962,-96.693423 43.563844,)"
3,8,3.2362,"LINESTRING (-96.774303 43.572962,-96.711382 43.562324,)"
3,9,2.7368,"LINESTRING (-96.774303 43.572962,-96.731241 43.548596,)"
3,10,2.8766,"LINESTRING (-96.774303 43.572962,-96.731438 43.545271,)"
3,11,2.4217,"LINESTRING (-96.774303 43.572962,-96.746841 43.544131,)"
3,12,2.0273,"LINESTRING (-96.774303 43.572962,-96.780137 43.543941,)"
3,13,5.7658,"LINESTRING (-96.774303 43.572962,-96.793377 43.490707,)"
3,14,3.2351,"LINESTRING (-96.774303 43.572962,-96.751035 43.529306,)"
3,15,3.6967,"LINESTRING (-96.774303 43.572962,-96.731504 43.529401,)"
3,16,3.6359,"LINESTRING (-96.774303 43.572962,-96.711382 43.546744,)"
3,17,3.8383,"LINESTRING (-96.774303 43.572962,-96.711382 43.541280,)"
3,18,4.4085,"LINESTRING (-96.774303 43.572962,-96.694078 43.546744,)"
3,19,4.3528,"LINESTRING (-96.774303 43.572962,-96.711316 43.529591,)"
3,20,5.0865,"LINESTRING (-96.774303 43.572962,-96.711185 43.515333,)"
3,21,4.8338,"LINESTRING (-96.774303 43.572962,-96.730979 43.510485,)"
3,22,4.5594,"LINESTRING (-96.774303 43.572962,-96.731241 43.514858,)"
3,23,4.1842,"LINESTRING (-96.774303 43.572962,-96.750904 43.514858,)"
3,24,4.9862,"LINESTRING (-96.774303 43.572962,-96.749200 43.503164,)"
4,1,3.5931,"LINESTRING (-96.747168 43.563654,-96.770420 43.612828,)"
4,2,3.4246,"LINESTRING (-96.747168 43.563654,-96.711251 43.605813,)"
4,3,1.5037,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962,)"
4,5,0.7818,"LINESTRING (-96.747168 43.563654,-96.731569 43.564034,)"
4,6,2.4294,"LINESTRING (-96.747168 43.563654,-96.711644 43.587586,)"
4,7,2.6922,"LINESTRING (-96.747168 43.563654,-96.693423 43.563844,)"
4,8,1.7949,"LINESTRING (-96.747168 43.563654,-96.711382 43.562324,)"
4,9,1.3115,"LINESTRING (-96.747168 43.563654,-96.731241 43.548596,)"
4,10,1.4953,"LINESTRING (-96.747168 43.563654,-96.731438 43.545271,)"
4,11,1.3497,"LINESTRING (-96.747168 43.563654,-96.746841 43.544131,)"
4,12,2.1413,"LINESTRING (-96.747168 43.563654,-96.780137 43.543941,)"
4,13,5.5490,"LINESTRING (-96.747168 43.563654,-96.793377 43.490707,)"
4,14,2.3823,"LINESTRING (-96.747168 43.563654,-96.751035 43.529306,)"
4,15,2.4945,"LINESTRING (-96.747168 43.563654,-96.731504 43.529401,)"
4,16,2.1402,"LINESTRING (-96.747168 43.563654,-96.711382 43.546744,)"
4,17,2.3678,"LINESTRING (-96.747168 43.563654,-96.711382 43.541280,)"
4,18,2.9052,"LINESTRING (-96.747168 43.563654,-96.694078 43.546744,)"
4,19,2.9616,"LINESTRING (-96.747168 43.563654,-96.711316 43.529591,)"
4,20,3.7959,"LINESTRING (-96.747168 43.563654,-96.711185 43.515333,)"
4,21,3.7639,"LINESTRING (-96.747168 43.563654,-96.730979 43.510485,)"
4,22,3.4662,"LINESTRING (-96.747168 43.563654,-96.731241 43.514858,)"
4,23,3.3783,"LINESTRING (-96.747168 43.563654,-96.750904 43.514858,)"
4,24,4.1827,"LINESTRING (-96.747168 43.563654,-96.749200 43.503164,)"
