iteration,agent_type,zone_id,node_id,pred,label_cost
0,p,1,1,-1,0.000000,
0,p,1,2,1,3.600000,
0,p,1,3,1,2.400000,
0,p,1,4,3,4.800000,
0,p,1,5,4,6.000000,
0,p,1,6,2,6.600000,
0,p,1,7,8,9.600000,
0,p,1,8,6,7.800000,
0,p,1,9,5,9.000000,
0,p,1,10,9,10.800000,
0,p,1,11,4,8.400000,
0,p,1,12,3,4.800000,
0,p,1,13,12,6.600000,
0,p,1,14,11,10.800000,
0,p,1,15,14,13.800000,
0,p,1,16,8,10.800000,
0,p,1,17,16,12.000000,
0,p,1,18,7,10.800000,
0,p,1,19,17,13.200000,
0,p,1,20,18,13.200000,
0,p,1,21,24,10.800000,
0,p,1,22,21,12.000000,
0,p,1,23,24,10.200000,
0,p,1,24,13,9.000000,
