od_no,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,agent_type,demand_period,volume,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,path_FF_travel_time_min,distance_km,distance_mile,OD0,OD1,OD2,OD3,OD4,OD5,OD6,OD7,OD8,OD9,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,
1,1,2,0,1,0,0,p,AM,15.18,1,-111.942300,40.624038,-111.943739,40.609520,2.1509,2.3396,1.4541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2,1,2,0,1,0,0,dms,AM,15.18,1,-111.942300,40.624038,-111.943739,40.609520,2.1509,2.3396,1.4541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3,1,3,0,2,0,0,p,AM,30.62,1,-111.942300,40.624038,-111.943604,40.587762,4.2029,4.7456,2.9494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4,1,3,0,2,0,0,dms,AM,30.62,1,-111.942300,40.624038,-111.943604,40.587762,4.2029,4.7456,2.9494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5,1,4,0,3,0,0,p,AM,1.47,1,-111.942300,40.624038,-111.944442,40.573253,5.9902,6.4468,4.0067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6,1,4,0,3,0,0,dms,AM,1.47,1,-111.942300,40.624038,-111.944442,40.573253,5.9902,6.4468,4.0067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7,1,5,0,4,0,0,p,AM,10.52,1,-111.942300,40.624038,-111.943762,40.562247,6.9693,7.5898,4.7171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8,1,5,0,4,0,0,dms,AM,10.52,1,-111.942300,40.624038,-111.943762,40.562247,6.9693,7.5898,4.7171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
9,1,6,0,5,0,0,p,AM,14.03,1,-111.942300,40.624038,-111.938753,40.552997,7.5239,8.1917,5.0912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
10,1,6,0,5,0,0,dms,AM,14.03,1,-111.942300,40.624038,-111.938753,40.552997,7.5239,8.1917,5.0912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
