name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,0,47673999,,yes,,,,"POLYGON ((55.1132386 25.1258662, 55.1136114 25.1264869, 55.1140308 25.1262805, 55.113658 25.1256597, 55.1132386 25.1258662))",POINT (55.1136347 25.1260733),3765.1,40527.6
Palm Water,1,47674070,,yes,,,,"POLYGON ((55.1306441 25.1384067, 55.1306276 25.1384595, 55.1305443 25.1384381, 55.1303114 25.1391824, 55.1303942 25.1392037, 55.1303798 25.1392496, 55.1304395 25.139265, 55.1304539 25.139219, 55.1310879 25.1393816, 55.1310745 25.1394245, 55.1311358 25.1394402, 55.1311492 25.1393973, 55.1312253 25.1394168, 55.1314582 25.1386725, 55.1313736 25.1386508, 55.1313871 25.1386077, 55.1313297 25.138593, 55.1313162 25.1386361, 55.1306807 25.1384731, 55.1306972 25.1384203, 55.1306441 25.1384067))",POINT (55.1308846 25.1389275),8330,89663.3
اتلانتس,2,89790675,,hotel,,,,"POLYGON ((55.1174936 25.1310339, 55.1172591 25.1316002, 55.1173642 25.1317301, 55.1175049 25.1316432, 55.1176823 25.1312422, 55.1178555 25.1311189, 55.1181901 25.1310688, 55.118162 25.1308448, 55.1177294 25.1309156, 55.1172508 25.1303857, 55.1170756 25.1301918, 55.1167182 25.1297961, 55.1166483 25.1297187, 55.1168049 25.1293197, 55.1165702 25.1292503, 55.1164021 25.1296721, 55.1160675 25.1297345, 55.1161208 25.1299515, 55.1161455 25.1300735, 55.1161701 25.1301982, 55.1163532 25.1301704, 55.1163279 25.1300429, 55.1163033 25.129917, 55.1164454 25.1298959, 55.1169557 25.1304463, 55.1170154 25.1305148, 55.1174936 25.1310339))",POINT (55.1170818 25.1304572),10732.7,115525.2
Jash Falqa,3,93638767,,residential,,,,"POLYGON ((55.1482278 25.1090923, 55.1482373 25.1089979, 55.1482079 25.1089954, 55.1482183 25.1088928, 55.1483252 25.1088122, 55.1483846 25.1088769, 55.1484812 25.1089012, 55.14851 25.1089177, 55.1485493 25.1088896, 55.1486774 25.1087606, 55.148687 25.1086855, 55.1486071 25.1085972, 55.1487114 25.1085198, 55.1488464 25.1085224, 55.1488454 25.1085667, 55.1488953 25.1085676, 55.1488916 25.1087248, 55.1488908 25.1087583, 55.1488583 25.1087577, 55.1488542 25.1089357, 55.1488009 25.1089756, 55.1488187 25.1089952, 55.1487083 25.1090778, 55.1486916 25.1090595, 55.1486393 25.1090987, 55.1484509 25.1090801, 55.1484469 25.1091139, 55.1482278 25.1090923))",POINT (55.1486031 25.1088709),2315.8,24927.3
Palm Terrace,4,93638768,,residential,,,,"POLYGON ((55.1465316 25.1103724, 55.1465411 25.110278, 55.1465116 25.1102755, 55.1465219 25.1101733, 55.1466287 25.110093, 55.1466878 25.1101575, 55.1467847 25.1101818, 55.1468176 25.1102007, 55.1468532 25.1101752, 55.1469811 25.1100411, 55.1469907 25.1099658, 55.146911 25.1098776, 55.147015 25.1098005, 55.1471495 25.1098031, 55.1471485 25.1098475, 55.1471983 25.1098484, 55.1471945 25.1100105, 55.1471939 25.1100384, 55.1471614 25.1100378, 55.1471573 25.110216, 55.147104 25.1102559, 55.1471219 25.1102755, 55.1470118 25.1103579, 55.146995 25.1103394, 55.1469426 25.1103787, 55.146754 25.1103602, 55.14675 25.1103939, 55.1465316 25.1103724))",POINT (55.1469066 25.1101514),2301.3,24770.8
Al Habool,5,93638770,,residential,,,,"POLYGON ((55.1407501 25.1133718, 55.1406873 25.1133009, 55.1406926 25.1132285, 55.1408853 25.1130855, 55.1409652 25.1130928, 55.1410335 25.1131611, 55.1411352 25.1130901, 55.1411406 25.112946, 55.1411004 25.1129387, 55.1411059 25.1128822, 55.140921 25.1128733, 55.1409193 25.1128997, 55.1407433 25.112906, 55.1406929 25.1129445, 55.140673 25.112919, 55.1405539 25.1130053, 55.1405757 25.1130314, 55.1405195 25.1130712, 55.1404983 25.1132178, 55.1404632 25.1132147, 55.1404542 25.1134028, 55.140533 25.1134061, 55.140533 25.1134474, 55.1406627 25.1134522, 55.1407501 25.1133718))",POINT (55.1407588 25.1131181),2242.3,24135.4
Al Anbara,6,93638771,,residential,,,,"POLYGON ((55.1416025 25.1127118, 55.14154 25.1126412, 55.1415454 25.1125682, 55.1417386 25.1124249, 55.1418192 25.1124322, 55.1418872 25.1125002, 55.141988 25.1124298, 55.1419933 25.1122867, 55.1419531 25.1122794, 55.1419586 25.1122231, 55.1417754 25.1122143, 55.1417737 25.1122406, 55.1415972 25.1122469, 55.1415463 25.1122858, 55.1415264 25.1122602, 55.1414087 25.1123455, 55.1414305 25.1123716, 55.1413739 25.1124118, 55.1413526 25.1125588, 55.1413176 25.1125557, 55.1413087 25.1127422, 55.1413875 25.1127455, 55.1413875 25.1127867, 55.141516 25.1127916, 55.1416025 25.1127118))",POINT (55.1416123 25.1124581),2220.4,23900.2
Al Nabat,7,93638772,,residential,,,,"POLYGON ((55.1429926 25.1130517, 55.1430045 25.1129555, 55.1429757 25.1129526, 55.1429886 25.1128486, 55.143088 25.1127738, 55.1431471 25.1128382, 55.1432441 25.1128626, 55.1432767 25.1128689, 55.1433138 25.1128423, 55.1434407 25.1127217, 55.1434503 25.1126463, 55.1433706 25.1125582, 55.1434744 25.1124812, 55.1436096 25.1124829, 55.1436089 25.112527, 55.143659 25.1125277, 55.1436565 25.1126776, 55.1436551 25.1127206, 55.1436223 25.1127197, 55.1436164 25.1128964, 55.1435629 25.1129365, 55.1435808 25.112956, 55.1434713 25.113038, 55.1434545 25.1130197, 55.1434019 25.1130591, 55.1432128 25.1130399, 55.1432087 25.1130736, 55.1429926 25.1130517))",POINT (55.1433686 25.1128305),2307.9,24841.6
Al Hatimi,8,93638773,,residential,,,,"POLYGON ((55.1473522 25.1097516, 55.1473637 25.1096557, 55.1473348 25.1096528, 55.1473474 25.1095481, 55.1474499 25.109471, 55.1475094 25.1095358, 55.1476058 25.10956, 55.1476438 25.1095742, 55.1476835 25.1095458, 55.1478017 25.1094195, 55.1478113 25.1093446, 55.1477313 25.1092563, 55.1478387 25.1091763, 55.1479724 25.1091802, 55.1479708 25.1092251, 55.1480201 25.1092266, 55.1480156 25.1094177, 55.1479832 25.1094171, 55.1479791 25.1095949, 55.1479259 25.1096347, 55.1479438 25.1096543, 55.1478329 25.1097373, 55.1478161 25.109719, 55.147764 25.109758, 55.1475757 25.1097394, 55.1475716 25.1097733, 55.1475379 25.1097699, 55.1473522 25.1097516))",POINT (55.1477289 25.1095293),2315,24918.1
Al Shahla,9,93638775,,residential,,,,"POLYGON ((55.1465967 25.1089444, 55.1465336 25.1088731, 55.1465389 25.1088016, 55.1467308 25.1086591, 55.1468099 25.1086663, 55.1468785 25.108735, 55.1469814 25.1086631, 55.1469869 25.1085178, 55.1469467 25.1085105, 55.1469523 25.1084539, 55.1467652 25.1084449, 55.1467635 25.1084714, 55.1465881 25.1084776, 55.1465383 25.1085157, 55.1465184 25.1084902, 55.1463976 25.1085777, 55.1464194 25.1086038, 55.1463637 25.1086433, 55.1463425 25.1087893, 55.1463074 25.1087863, 55.1462983 25.1089763, 55.1463772 25.1089796, 55.1463772 25.1090209, 55.1465084 25.1090258, 55.1465967 25.1089444))",POINT (55.1466041 25.1086908),2269.7,24431.3
Al Msalli,10,93638776,,residential,,,,"POLYGON ((55.1421259 25.1137138, 55.1421374 25.1136179, 55.1421084 25.113615, 55.142121 25.1135108, 55.1422232 25.1134339, 55.1422825 25.1134985, 55.1423792 25.1135228, 55.1423947 25.1135116, 55.1424331 25.1134841, 55.1425754 25.1133822, 55.142585 25.113307, 55.142505 25.1132188, 55.1426167 25.1131357, 55.1427501 25.1131395, 55.1427485 25.1131842, 55.1427976 25.1131855, 55.1427908 25.1133819, 55.142758 25.113381, 55.142752 25.1135572, 55.1426987 25.1135971, 55.1427166 25.1136167, 55.1426063 25.1136993, 55.1425895 25.1136809, 55.1425372 25.1137201, 55.1423488 25.1137016, 55.1423447 25.1137354, 55.1423061 25.1137316, 55.1421259 25.1137138))",POINT (55.1425033 25.1134895),2379.9,25616.6
Al Hamri,11,93638777,,residential,,,,"POLYGON ((55.1492057 25.1069782, 55.1491427 25.106907, 55.1491479 25.1068353, 55.14934 25.1066927, 55.1494193 25.1066999, 55.1494878 25.1067685, 55.1495905 25.1066968, 55.149596 25.1065517, 55.1495558 25.1065444, 55.1495614 25.1064878, 55.1493746 25.1064789, 55.1493729 25.1065053, 55.1491974 25.1065115, 55.1491475 25.1065497, 55.1491276 25.1065242, 55.1490071 25.1066115, 55.1490289 25.1066376, 55.1489732 25.1066771, 55.148952 25.1068233, 55.1489168 25.1068202, 55.1489077 25.1070099, 55.1489866 25.1070132, 55.1489866 25.1070545, 55.1491175 25.1070594, 55.1492057 25.1069782))",POINT (55.1492133 25.1067246),2265,24380.4
Al Sultana,12,93638778,,residential,,,,"POLYGON ((55.1490519 25.1084719, 55.1490634 25.108376, 55.1490345 25.1083731, 55.1490469 25.1082701, 55.1491481 25.108194, 55.1492069 25.1082582, 55.1493044 25.1082827, 55.1493393 25.1082925, 55.1493806 25.1082629, 55.1495013 25.1081415, 55.149511 25.1080657, 55.1494315 25.1079778, 55.1495329 25.1079029, 55.1496674 25.1079045, 55.1496667 25.1079486, 55.149717 25.1079493, 55.1497125 25.1081378, 55.1496802 25.1081372, 55.149676 25.1083157, 55.1496223 25.1083559, 55.1496401 25.1083754, 55.1495315 25.1084567, 55.1495148 25.1084384, 55.1494618 25.1084781, 55.149273 25.1084595, 55.1492689 25.1084933, 55.1492402 25.1084905, 55.1490519 25.1084719))",POINT (55.1494266 25.1082518),2281.8,24561.1
Al Dabas,13,93638779,,residential,,,,"POLYGON ((55.1499183 25.1078129, 55.1499289 25.1077175, 55.1498997 25.1077148, 55.1499112 25.1076126, 55.1500147 25.1075343, 55.1500737 25.1075987, 55.1501709 25.1076231, 55.1502069 25.107643, 55.1502456 25.1076152, 55.1503676 25.1074821, 55.1503773 25.1074065, 55.1502977 25.1073184, 55.1504012 25.1072417, 55.1505352 25.1072442, 55.1505341 25.1072886, 55.1505839 25.1072896, 55.1505803 25.1074449, 55.1505795 25.1074788, 55.1505471 25.1074782, 55.1505429 25.1076566, 55.1504894 25.1076967, 55.1505072 25.1077162, 55.150398 25.1077979, 55.1503813 25.1077796, 55.1503285 25.1078191, 55.1501399 25.1078005, 55.1501358 25.1078343, 55.1499183 25.1078129))",POINT (55.1502934 25.1075921),2280.8,24550.7
Al Hallawi,14,93638780,,residential,,,,"POLYGON ((55.1433536 25.111406, 55.1432907 25.1113349, 55.143296 25.1112629, 55.1434884 25.1111202, 55.1435679 25.1111274, 55.1436364 25.1111959, 55.1437386 25.1111245, 55.143744 25.1109798, 55.1437038 25.1109726, 55.1437094 25.110916, 55.1435235 25.1109071, 55.1435218 25.1109335, 55.143346 25.1109398, 55.1432959 25.1109781, 55.143276 25.1109526, 55.1431562 25.1110394, 55.143178 25.1110655, 55.143122 25.1111052, 55.1431008 25.1112516, 55.1430657 25.1112485, 55.1430566 25.1114374, 55.1431355 25.1114407, 55.1431355 25.111482, 55.1432659 25.1114869, 55.1433536 25.111406))",POINT (55.1433618 25.1111524),2254.4,24266.4
