Unix Timestamp (local time),StationID,Total Flow_per_obs_interval,Avg Density,Avg Speed
03/25/2010 00:00,400009,26,0.0079,70
03/25/2010 00:00,400126,26,0.0097,70.7
03/25/2010 00:00,400176,55,0.0131,71.3
03/25/2010 00:00,400367,58,0.0151,70.7
03/25/2010 00:00,400432,57,0.0131,70.4
03/25/2010 00:00,400679,57,0.015,70.2
03/25/2010 00:00,400691,22,0.0061,71.3
03/25/2010 00:00,400728,24,0.0076,70.8
03/25/2010 00:00,400803,20,0.0063,71
03/25/2010 00:00,400808,57,0.0174,70
03/25/2010 00:00,401198,55,0.0142,70.6
03/25/2010 00:00,401242,22,0.008,70.8
03/25/2010 00:05,400009,31,0.0088,70
03/25/2010 00:05,400126,29,0.0116,69.6
03/25/2010 00:05,400176,53,0.0135,71.3
03/25/2010 00:05,400367,56,0.0159,69.9
03/25/2010 00:05,400432,61,0.0149,70.9
03/25/2010 00:05,400679,59,0.0181,69.3
03/25/2010 00:05,400691,28,0.0097,70.3
03/25/2010 00:05,400728,27,0.0083,70.6
03/25/2010 00:05,400803,27,0.0099,68.1
03/25/2010 00:05,400808,53,0.0165,66.1
03/25/2010 00:05,401198,61,0.0182,69.7
03/25/2010 00:05,401242,33,0.0115,69.7
03/25/2010 00:10,400009,36,0.0093,69.5
03/25/2010 00:10,400126,39,0.0138,68.1
03/25/2010 00:10,400176,57,0.0148,71.1
03/25/2010 00:10,400367,56,0.0164,69.5
03/25/2010 00:10,400432,56,0.0144,71.1
03/25/2010 00:10,400679,55,0.0163,68.7
03/25/2010 00:10,400691,40,0.0118,69.6
03/25/2010 00:10,400728,31,0.0084,70.2
03/25/2010 00:10,400803,38,0.0127,65.1
03/25/2010 00:10,400808,57,0.0184,62
03/25/2010 00:10,401198,57,0.0164,69.6
03/25/2010 00:10,401242,38,0.0114,68.6
03/25/2010 00:15,400009,24,0.0064,68.5
03/25/2010 00:15,400126,25,0.008,67.1
03/25/2010 00:15,400176,53,0.0145,70.4
03/25/2010 00:15,400367,60,0.0193,66.9
03/25/2010 00:15,400432,62,0.0163,70
03/25/2010 00:15,400679,62,0.0204,65.7
03/25/2010 00:15,400691,22,0.0064,69.4
03/25/2010 00:15,400728,19,0.0057,70.1
03/25/2010 00:15,400803,22,0.0062,62.1
03/25/2010 00:15,400808,61,0.0209,57.3
03/25/2010 00:15,401198,58,0.018,67.4
03/25/2010 00:15,401242,24,0.0086,67.8
03/25/2010 00:20,400009,25,0.0061,68.1
03/25/2010 00:20,400126,29,0.0103,66.7
03/25/2010 00:20,400176,56,0.0173,69.1
03/25/2010 00:20,400367,58,0.0184,66
03/25/2010 00:20,400432,62,0.0164,69.6
03/25/2010 00:20,400679,58,0.0188,65.5
