service_id,date,exception_type
GUS1-Weekday-1-1904-GL-1111100,20200914,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200914,1
Local-Weekday-2-2007-PHNS-1111100,20200914,1
RAPID-Weekday-2-2007-PHNS-1111100,20200914,1
Local-Weekday-12-2004-PHW-1111100,20200914,1
SC-Weekday-3-2004-SC-1111100,20200914,1
SKYT-7-days-1-SKYT-1111111,20200914,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200914,1
VMRU-Weekday-2-1910-VMRU-1111100,20200914,1
Express-Weekday-4-2007-VMTM-1111100,20200914,1
FLSH-Weekday-4-2007-VMTM-1111100,20200914,1
Local-Weekday-4-2007-VMTM-1111100,20200914,1
School-Weekday-4-2007-VMTM-1101100,20200914,1
School-Weekday-4-2007-VMTM-1111000,20200914,1
Express-Weekday-1-2007-VMW-1111100,20200914,1
Local-Weekday-1-2007-VMW-1111100,20200914,1
GUS1-Weekday-1-1904-GL-1111100,20200915,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200915,1
Local-Weekday-2-2007-PHNS-1111100,20200915,1
RAPID-Weekday-2-2007-PHNS-1111100,20200915,1
Local-Weekday-12-2004-PHW-1111100,20200915,1
SC-Weekday-3-2004-SC-1111100,20200915,1
SKYT-7-days-1-SKYT-1111111,20200915,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200915,1
VMRU-Weekday-2-1910-VMRU-1111100,20200915,1
Express-Weekday-4-2007-VMTM-1111100,20200915,1
FLSH-Weekday-4-2007-VMTM-1111100,20200915,1
Local-Weekday-4-2007-VMTM-1111100,20200915,1
School-Weekday-4-2007-VMTM-1101100,20200915,1
School-Weekday-4-2007-VMTM-1111000,20200915,1
Express-Weekday-1-2007-VMW-1111100,20200915,1
Local-Weekday-1-2007-VMW-1111100,20200915,1
GUS1-Weekday-1-1904-GL-1111100,20200916,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200916,1
Local-Weekday-2-2007-PHNS-1111100,20200916,1
RAPID-Weekday-2-2007-PHNS-1111100,20200916,1
Local-Weekday-12-2004-PHW-1111100,20200916,1
SC-Weekday-3-2004-SC-1111100,20200916,1
SKYT-7-days-1-SKYT-1111111,20200916,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200916,1
VMRU-Weekday-2-1910-VMRU-1111100,20200916,1
Express-Weekday-4-2007-VMTM-1111100,20200916,1
FLSH-Weekday-4-2007-VMTM-1111100,20200916,1
Local-Weekday-4-2007-VMTM-1111100,20200916,1
School-Weekday-4-2007-VMTM-0010000,20200916,1
School-Weekday-4-2007-VMTM-1111000,20200916,1
Express-Weekday-1-2007-VMW-1111100,20200916,1
Local-Weekday-1-2007-VMW-1111100,20200916,1
GUS1-Weekday-1-1904-GL-1111100,20200917,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200917,1
Local-Weekday-2-2007-PHNS-1111100,20200917,1
RAPID-Weekday-2-2007-PHNS-1111100,20200917,1
Local-Weekday-12-2004-PHW-1111100,20200917,1
SC-Weekday-3-2004-SC-1111100,20200917,1
SKYT-7-days-1-SKYT-1111111,20200917,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200917,1
VMRU-Weekday-2-1910-VMRU-1111100,20200917,1
Express-Weekday-4-2007-VMTM-1111100,20200917,1
FLSH-Weekday-4-2007-VMTM-1111100,20200917,1
Local-Weekday-4-2007-VMTM-1111100,20200917,1
School-Weekday-4-2007-VMTM-1101100,20200917,1
School-Weekday-4-2007-VMTM-1111000,20200917,1
Express-Weekday-1-2007-VMW-1111100,20200917,1
Local-Weekday-1-2007-VMW-1111100,20200917,1
GUS1-Weekday-1-1904-GL-1111100,20200918,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200918,1
Local-Weekday-2-2007-PHNS-1111100,20200918,1
RAPID-Weekday-2-2007-PHNS-1111100,20200918,1
Local-Weekday-12-2004-PHW-1111100,20200918,1
SC-Weekday-3-2004-SC-1111100,20200918,1
SKYT-7-days-1-SKYT-1111111,20200918,1
VMLR-Friday-19-2001-VMLR-0000100,20200918,1
VMRU-Weekday-2-1910-VMRU-1111100,20200918,1
Express-Weekday-4-2007-VMTM-1111100,20200918,1
FLSH-Weekday-4-2007-VMTM-1111100,20200918,1
Local-Weekday-4-2007-VMTM-1111100,20200918,1
School-Weekday-4-2007-VMTM-0000100,20200918,1
School-Weekday-4-2007-VMTM-1101100,20200918,1
Express-Weekday-1-2007-VMW-1111100,20200918,1
Local-Weekday-1-2007-VMW-1111100,20200918,1
GUS1-Saturday-1-1904-GL-0000010,20200919,1
PHNS-Saturday-2-2007-PHNS-0000010,20200919,1
PHW-Saturday-12-2004-PHW-0000010,20200919,1
SKYT-7-days-1-SKYT-1111111,20200919,1
VMLR-Saturday-19-2001-VMLR-0000010,20200919,1
VMRU-Saturday-2-1910-VMRU-0000010,20200919,1
VMTM-Saturday-1-2007-VMTM-0000010,20200919,1
VMW-Weekend-1-2007-VMW-0000011,20200919,1
GUS1-Sunday-1-1904-GL-0000001,20200920,1
PHNS-Sunday-2-2007-PHNS-0000001,20200920,1
PHW-Sunday-12-2004-PHW-0000001,20200920,1
SKYT-7-days-1-SKYT-1111111,20200920,1
VMLR-Sunday-19-2001-VMLR-0000001,20200920,1
VMTM-Sunday-4-2007-VMTM-0000001,20200920,1
VMW-Weekend-1-2007-VMW-0000011,20200920,1
GUS1-Weekday-1-1904-GL-1111100,20200921,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200921,1
Local-Weekday-2-2007-PHNS-1111100,20200921,1
RAPID-Weekday-2-2007-PHNS-1111100,20200921,1
Local-Weekday-12-2004-PHW-1111100,20200921,1
SC-Weekday-3-2004-SC-1111100,20200921,1
SKYT-7-days-1-SKYT-1111111,20200921,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200921,1
VMRU-Weekday-2-1910-VMRU-1111100,20200921,1
Express-Weekday-4-2007-VMTM-1111100,20200921,1
FLSH-Weekday-4-2007-VMTM-1111100,20200921,1
Local-Weekday-4-2007-VMTM-1111100,20200921,1
School-Weekday-4-2007-VMTM-1101100,20200921,1
School-Weekday-4-2007-VMTM-1111000,20200921,1
Express-Weekday-1-2007-VMW-1111100,20200921,1
Local-Weekday-1-2007-VMW-1111100,20200921,1
GUS1-Weekday-1-1904-GL-1111100,20200922,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200922,1
Local-Weekday-2-2007-PHNS-1111100,20200922,1
RAPID-Weekday-2-2007-PHNS-1111100,20200922,1
Local-Weekday-12-2004-PHW-1111100,20200922,1
SC-Weekday-3-2004-SC-1111100,20200922,1
SKYT-7-days-1-SKYT-1111111,20200922,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200922,1
VMRU-Weekday-2-1910-VMRU-1111100,20200922,1
Express-Weekday-4-2007-VMTM-1111100,20200922,1
FLSH-Weekday-4-2007-VMTM-1111100,20200922,1
Local-Weekday-4-2007-VMTM-1111100,20200922,1
School-Weekday-4-2007-VMTM-1101100,20200922,1
School-Weekday-4-2007-VMTM-1111000,20200922,1
Express-Weekday-1-2007-VMW-1111100,20200922,1
Local-Weekday-1-2007-VMW-1111100,20200922,1
GUS1-Weekday-1-1904-GL-1111100,20200923,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200923,1
Local-Weekday-2-2007-PHNS-1111100,20200923,1
RAPID-Weekday-2-2007-PHNS-1111100,20200923,1
Local-Weekday-12-2004-PHW-1111100,20200923,1
SC-Weekday-3-2004-SC-1111100,20200923,1
SKYT-7-days-1-SKYT-1111111,20200923,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200923,1
VMRU-Weekday-2-1910-VMRU-1111100,20200923,1
Express-Weekday-4-2007-VMTM-1111100,20200923,1
FLSH-Weekday-4-2007-VMTM-1111100,20200923,1
Local-Weekday-4-2007-VMTM-1111100,20200923,1
School-Weekday-4-2007-VMTM-0010000,20200923,1
School-Weekday-4-2007-VMTM-1111000,20200923,1
Express-Weekday-1-2007-VMW-1111100,20200923,1
Local-Weekday-1-2007-VMW-1111100,20200923,1
GUS1-Weekday-1-1904-GL-1111100,20200924,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200924,1
Local-Weekday-2-2007-PHNS-1111100,20200924,1
RAPID-Weekday-2-2007-PHNS-1111100,20200924,1
Local-Weekday-12-2004-PHW-1111100,20200924,1
SC-Weekday-3-2004-SC-1111100,20200924,1
SKYT-7-days-1-SKYT-1111111,20200924,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200924,1
VMRU-Weekday-2-1910-VMRU-1111100,20200924,1
Express-Weekday-4-2007-VMTM-1111100,20200924,1
FLSH-Weekday-4-2007-VMTM-1111100,20200924,1
Local-Weekday-4-2007-VMTM-1111100,20200924,1
School-Weekday-4-2007-VMTM-1101100,20200924,1
School-Weekday-4-2007-VMTM-1111000,20200924,1
Express-Weekday-1-2007-VMW-1111100,20200924,1
Local-Weekday-1-2007-VMW-1111100,20200924,1
GUS1-Weekday-1-1904-GL-1111100,20200925,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200925,1
Local-Weekday-2-2007-PHNS-1111100,20200925,1
RAPID-Weekday-2-2007-PHNS-1111100,20200925,1
Local-Weekday-12-2004-PHW-1111100,20200925,1
SC-Weekday-3-2004-SC-1111100,20200925,1
SKYT-7-days-1-SKYT-1111111,20200925,1
VMLR-Friday-19-2001-VMLR-0000100,20200925,1
VMRU-Weekday-2-1910-VMRU-1111100,20200925,1
Express-Weekday-4-2007-VMTM-1111100,20200925,1
FLSH-Weekday-4-2007-VMTM-1111100,20200925,1
Local-Weekday-4-2007-VMTM-1111100,20200925,1
School-Weekday-4-2007-VMTM-0000100,20200925,1
School-Weekday-4-2007-VMTM-1101100,20200925,1
Express-Weekday-1-2007-VMW-1111100,20200925,1
Local-Weekday-1-2007-VMW-1111100,20200925,1
GUS1-Saturday-1-1904-GL-0000010,20200926,1
PHNS-Saturday-2-2007-PHNS-0000010,20200926,1
PHW-Saturday-12-2004-PHW-0000010,20200926,1
SKYT-7-days-1-SKYT-1111111,20200926,1
VMLR-Saturday-19-2001-VMLR-0000010,20200926,1
VMRU-Saturday-2-1910-VMRU-0000010,20200926,1
VMTM-Saturday-1-2007-VMTM-0000010,20200926,1
VMW-Weekend-1-2007-VMW-0000011,20200926,1
GUS1-Sunday-1-1904-GL-0000001,20200927,1
PHNS-Sunday-2-2007-PHNS-0000001,20200927,1
PHW-Sunday-12-2004-PHW-0000001,20200927,1
SKYT-7-days-1-SKYT-1111111,20200927,1
VMLR-Sunday-19-2001-VMLR-0000001,20200927,1
VMTM-Sunday-4-2007-VMTM-0000001,20200927,1
VMW-Weekend-1-2007-VMW-0000011,20200927,1
GUS1-Weekday-1-1904-GL-1111100,20200928,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200928,1
Local-Weekday-2-2007-PHNS-1111100,20200928,1
RAPID-Weekday-2-2007-PHNS-1111100,20200928,1
Local-Weekday-12-2004-PHW-1111100,20200928,1
SC-Weekday-3-2004-SC-1111100,20200928,1
SKYT-7-days-1-SKYT-1111111,20200928,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200928,1
VMRU-Weekday-2-1910-VMRU-1111100,20200928,1
Express-Weekday-4-2007-VMTM-1111100,20200928,1
FLSH-Weekday-4-2007-VMTM-1111100,20200928,1
Local-Weekday-4-2007-VMTM-1111100,20200928,1
School-Weekday-4-2007-VMTM-1101100,20200928,1
School-Weekday-4-2007-VMTM-1111000,20200928,1
Express-Weekday-1-2007-VMW-1111100,20200928,1
Local-Weekday-1-2007-VMW-1111100,20200928,1
GUS1-Weekday-1-1904-GL-1111100,20200929,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200929,1
Local-Weekday-2-2007-PHNS-1111100,20200929,1
RAPID-Weekday-2-2007-PHNS-1111100,20200929,1
Local-Weekday-12-2004-PHW-1111100,20200929,1
SC-Weekday-3-2004-SC-1111100,20200929,1
SKYT-7-days-1-SKYT-1111111,20200929,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200929,1
VMRU-Weekday-2-1910-VMRU-1111100,20200929,1
Express-Weekday-4-2007-VMTM-1111100,20200929,1
FLSH-Weekday-4-2007-VMTM-1111100,20200929,1
Local-Weekday-4-2007-VMTM-1111100,20200929,1
School-Weekday-4-2007-VMTM-1101100,20200929,1
School-Weekday-4-2007-VMTM-1111000,20200929,1
Express-Weekday-1-2007-VMW-1111100,20200929,1
Local-Weekday-1-2007-VMW-1111100,20200929,1
GUS1-Weekday-1-1904-GL-1111100,20200930,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20200930,1
Local-Weekday-2-2007-PHNS-1111100,20200930,1
RAPID-Weekday-2-2007-PHNS-1111100,20200930,1
Local-Weekday-12-2004-PHW-1111100,20200930,1
SC-Weekday-3-2004-SC-1111100,20200930,1
SKYT-7-days-1-SKYT-1111111,20200930,1
VMLR-M-Tu-W-Th-19-2001-VMLR-1111000,20200930,1
VMRU-Weekday-2-1910-VMRU-1111100,20200930,1
Express-Weekday-4-2007-VMTM-1111100,20200930,1
FLSH-Weekday-4-2007-VMTM-1111100,20200930,1
Local-Weekday-4-2007-VMTM-1111100,20200930,1
School-Weekday-4-2007-VMTM-0010000,20200930,1
School-Weekday-4-2007-VMTM-1111000,20200930,1
Express-Weekday-1-2007-VMW-1111100,20200930,1
Local-Weekday-1-2007-VMW-1111100,20200930,1
GUS1-Weekday-1-1904-GL-1111100,20201001,1
GUS2GUS3-Weekday-1-1904-GL-1111100,20201001,1
Local-Weekday-2-2007-PHNS-1111100,20201001,1
RAPID-Weekday-2-2007-PHNS-1111100,20201001,1
Local-Weekday-12-2004-PHW-1111100,20201001,1
SC-Weekday-3-2004-SC-1111100,20201001,1
SKYT-7-days-1-SKYT-1111111,20201001,1
