link_id,vdf_type,from_node_id,to_node_id,lanes,distance_km,distance_mile,fftt,meso_link_id,meso_link_incoming_volume,tmc,tmc_corridor_name,tmc_corridor_id,tmc_road_order,tmc_road_sequence,subarea_id,link_type,link_type_code,vdf_code,time_period,volume,ref_volume,ref_diff,volume_before_odme,volume_after_odme,volume_diff_odme,obs_count,upper_bound_type,obs_count_dev_odme,preload_volume,person_volume,travel_time,speed_kmph,speed_mph,speed_ratio,VOC,DOC,capacity,queue,total_simu_waiting_time_in_min,avg_simu_waiting_time_in_min,qdf,lanes,D_per_hour_per_lane,QVDF_cd,QVDF_n,P,severe_congestion_duration_in_h,vf,v_congestion_cutoff,QVDF_cp,QVDF_s,QVDF_v,vt2,VMT,VHT,PMT,PHT,PDT_vf,PDT_vc,geometry,person_vol_p,person_vol_rt,person_vol_dms,v06:00,v06:15,v06:30,v06:45,v07:00,v07:15,v07:30,v07:45,v08:00,v08:15,v08:30,v08:45,v09:00,v09:15,v09:30,v09:45,v10:00,v10:15,v10:30,v10:45,v11:00,v11:15,v11:30,v11:45,v12:00,v12:15,v12:30,v12:45,v13:00,v13:15,v13:30,v13:45,v14:00,v14:15,v14:30,v14:45,v15:00,v15:15,v15:30,v15:45,v16:00,v16:15,v16:30,v16:45,v17:00,v17:15,v17:30,v17:45,v18:00,v18:15,v18:30,v18:45,v19:00,v19:15,v19:30,v19:45,scenario_code,volume_before_sa,volume_after_sa,volume_diff_sa,speed_before_sa,speed_after_sa,speed_diff_sa,DoC_before_sa,DoC_after_sa,Doc_diff_sa,P_before_sa,P_after_sa,P_diff_sa,notes
1,bpr,1,3,3.000000,1.950400,1.212181,1.950400,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4740.219,-1.000,0.000,8511.781,8511.781,0.000,,,,0.000,4740.219,1.951,59.983,37.280,1.000,0.208,0.208,1900.000,0.000,0.000,0.000,0.250,3.000,395.018,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.944,51.000,5746.006,154.132,5746.006,154.132,0.043,0.000,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",4255.891,0.000,484.329,59.998,59.991,59.984,59.977,59.970,59.963,59.956,59.949,56.965,59.954,59.961,59.967,59.974,59.981,59.988,59.995,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,8511.781,4740.219,-3771.562,59.826,59.983,0.157,0.373,0.208,-0.165,0.019,0.002,-0.017,period-based
2,bpr,3,4,3.000000,1.891960,1.175861,1.891960,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4740.219,-1.000,0.000,8511.781,8511.781,0.000,,,,0.000,4740.219,1.893,59.979,37.277,1.000,0.219,0.219,1800.000,0.000,0.000,0.000,0.250,3.000,395.018,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.931,51.000,5573.838,149.524,5573.838,149.524,0.052,0.000,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",4255.891,0.000,484.329,59.997,59.988,59.980,59.971,59.963,59.954,59.945,59.937,56.957,59.942,59.951,59.960,59.968,59.977,59.986,59.994,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,dms,8511.781,4740.219,-3771.562,59.784,59.979,0.195,0.394,0.219,-0.175,0.023,0.002,-0.021,period-based
3,bpr,4,5,3.000000,1.815980,1.128639,1.815980,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5740.237,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,5740.237,1.817,59.955,37.262,0.999,0.266,0.266,1800.000,0.000,0.000,0.000,0.250,3.000,478.353,0.955,1.142,0.005,0.000,60.000,51.000,0.400,4.000,59.851,51.000,6478.655,173.866,6478.655,173.866,0.130,0.000,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",4755.891,400.009,584.338,59.994,59.975,59.957,59.938,59.919,59.901,59.882,59.864,56.907,59.876,59.895,59.913,59.932,59.950,59.969,59.988,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,5740.237,-3771.544,59.663,59.955,0.292,0.440,0.266,-0.175,0.036,0.005,-0.031,period-based
4,bpr,5,6,3.000000,2.078070,1.291529,2.078070,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5740.237,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,5740.237,2.080,59.955,37.262,0.999,0.266,0.266,1800.000,0.000,0.000,0.000,0.250,3.000,478.353,0.955,1.142,0.005,0.000,60.000,51.000,0.400,4.000,59.851,51.000,7413.682,198.959,7413.682,198.959,0.149,0.000,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",4755.891,400.009,584.338,59.994,59.975,59.957,59.938,59.919,59.901,59.882,59.864,56.907,59.876,59.895,59.913,59.932,59.950,59.969,59.988,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,5740.237,-3771.544,59.663,59.955,0.292,0.440,0.266,-0.175,0.036,0.005,-0.031,period-based
5,bpr,6,7,3.000000,1.890790,1.175134,1.890790,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,5740.237,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,5740.237,1.892,59.955,37.262,0.999,0.266,0.266,1800.000,0.000,0.000,0.000,0.250,3.000,478.353,0.955,1.142,0.005,0.000,60.000,51.000,0.400,4.000,59.851,51.000,6745.546,181.028,6745.546,181.028,0.135,0.000,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",4755.891,400.009,584.338,59.994,59.975,59.957,59.938,59.919,59.901,59.882,59.864,56.907,59.876,59.895,59.913,59.932,59.950,59.969,59.988,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,5740.237,-3771.544,59.663,59.955,0.292,0.440,0.266,-0.175,0.036,0.005,-0.031,period-based
6,bpr,7,8,3.000000,2.059340,1.279888,2.059340,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,2.060,59.977,37.276,1.000,0.225,0.225,1800.000,0.000,0.000,0.000,0.250,3.000,404.658,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.924,51.000,6214.997,166.729,6214.997,166.729,0.064,0.000,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",4755.891,0.000,100.000,59.997,59.987,59.978,59.968,59.959,59.949,59.940,59.930,56.952,59.937,59.946,59.956,59.965,59.975,59.984,59.994,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,4855.891,-4655.891,59.663,59.977,0.314,0.440,0.225,-0.216,0.036,0.002,-0.033,period-based
7,bpr,8,9,3.000000,1.703610,1.058800,1.703610,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,1.704,59.977,37.276,1.000,0.225,0.225,1800.000,0.000,0.000,0.000,0.250,3.000,404.658,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.924,51.000,5141.419,137.929,5141.419,137.929,0.053,0.000,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",4755.891,0.000,100.000,59.997,59.987,59.978,59.968,59.959,59.949,59.940,59.930,56.952,59.937,59.946,59.956,59.965,59.975,59.984,59.994,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,4855.891,-4655.891,59.663,59.977,0.314,0.440,0.225,-0.216,0.036,0.002,-0.033,period-based
8,bpr,10,11,2.000000,1.497710,0.930833,1.497710,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,1.501,59.884,37.218,0.998,0.337,0.337,1800.000,0.000,0.000,0.000,0.250,2.000,606.986,0.955,1.142,0.012,0.000,60.000,51.000,0.400,4.000,59.616,51.000,4520.022,121.447,4520.022,121.447,0.235,0.000,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",4755.891,0.000,100.000,59.984,59.936,59.888,59.840,59.792,59.744,59.695,59.647,56.760,59.679,59.727,59.776,59.824,59.872,59.920,59.968,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,4855.891,-4655.891,58.334,59.884,1.550,0.661,0.337,-0.323,0.182,0.012,-0.169,period-based
9,bpr,11,12,3.000000,0.987380,0.613661,0.987380,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,0.988,59.977,37.276,1.000,0.225,0.225,1800.000,0.000,0.000,0.000,0.250,3.000,404.658,0.955,1.142,0.002,0.000,60.000,51.000,0.400,4.000,59.924,51.000,2979.869,79.941,2979.869,79.941,0.031,0.000,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",4755.891,0.000,100.000,59.997,59.987,59.978,59.968,59.959,59.949,59.940,59.930,56.952,59.937,59.946,59.956,59.965,59.975,59.984,59.994,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,,9511.781,4855.891,-4655.891,59.663,59.977,0.314,0.440,0.225,-0.216,0.036,0.002,-0.033,period-based
10,bpr,9,10,0.000000,1.609970,1.000603,1.609970,-1,0,,network_wide,-1,0,-1,-1,1,,,0600_1000,4855.891,-1.000,0.000,9511.781,9511.781,0.000,,,,0.000,4855.891,864000.000,0.100,0.062,0.002,485589062.500,674429.253,1800.000,0.000,0.000,0.000,0.250,0.000,1213972656.250,0.955,1.142,4306691.418,4.083,60.000,51.000,0.400,4.000,0.000,0.000,4858.818,69924824.000,4858.818,69924824.000,69808280.000,69787720.000,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",4755.891,0.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,60.000,sa,9511.781,4855.891,-4655.891,58.334,0.100,-58.234,0.661,674429.253,674428.593,0.182,4306691.418,4306691.236,period-based
