node_id,node_no,layer_no,MRM_gate_flag,node_type,is_boundary,#_of_outgoing_nodes,activity_node_flag,mode_type,zone_id,cell_code,info_zone_flag,x_coord,y_coord
1,0,0,-1,,0,6,1,, 1,,0,-111.917657,33.334091
2,1,0,-1,,0,6,1,, 2,,0,-111.918043,33.327845
3,2,0,-1,turning_circle,0,2,1,, 3,,0,-111.918129,33.328398
4,3,0,-1,,0,6,1,, 4,,0,-111.937090,33.324731
5,4,0,-1,,0,6,1,, 5,,0,-111.941978,33.406618
6,5,0,-1,,0,6,1,, 6,,0,-111.939652,33.334641
7,6,0,-1,,0,1,1,, 7,,0,-111.965290,33.423112
8,7,0,-1,,0,6,1,, 8,,0,-111.939327,33.336264
9,8,0,-1,,0,6,1,, 9,,0,-111.938631,33.337032
10,9,0,-1,,0,6,1,, 10,,0,-111.938305,33.337978
11,10,0,-1,,0,6,1,, 11,,0,-111.938314,33.338444
12,11,0,-1,,0,8,1,, 12,,0,-111.940578,33.383271
13,12,0,-1,,0,3,0,, -1,,0,-111.953011,33.421918
14,13,0,-1,,0,6,0,, -1,,0,-111.940628,33.380736
15,14,0,-1,,0,6,1,, 13,,0,-111.941261,33.421931
16,15,0,-1,,0,3,0,, -1,,0,-111.943057,33.429669
17,16,0,-1,,0,8,1,, 14,,0,-111.941237,33.419052
18,17,0,-1,,0,8,1,, 15,,0,-111.941230,33.417620
19,18,0,-1,turning_circle,0,2,1,, 16,,0,-111.895818,33.386649
20,19,0,-1,,0,8,1,, 17,,0,-111.941205,33.416204
21,20,0,-1,,0,6,1,, 18,,0,-111.941189,33.414744
22,21,0,-1,,0,6,0,, -1,,0,-111.898737,33.425701
23,22,0,-1,,0,8,0,, -1,,0,-111.897029,33.425697
24,23,0,-1,,0,6,0,, -1,,0,-111.895323,33.425694
25,24,0,-1,,0,6,1,, 19,,0,-111.938742,33.331640
26,25,0,-1,,0,6,0,, -1,,0,-111.893572,33.425692
27,26,0,-1,,0,3,0,, -1,,0,-111.891904,33.425689
