iteration,agent_type,zone_id,node_id,pred,label_cost
0,p,1,5577,-1,0.000100,
0,p,1,11123,5017,2.150953,
0,p,1,11159,5112,4.202958,
0,p,1,11180,5211,5.990263,
0,p,1,11282,5208,6.969371,
0,p,1,5238,5208,7.523974,
0,p,1,11281,5214,8.263003,
0,p,1,10847,5216,9.404470,
0,p,1,5356,5216,9.577670,
0,p,1,5929,5729,9.311668,
0,p,1,5119,5727,7.542872,
0,p,1,11151,5109,5.192631,
0,p,1,5034,11129,4.770125,
0,p,1,5037,11128,4.000700,
0,p,1,4899,5030,3.555817,
0,p,1,11827,5440,1.547110,
0,p,1,1289,5018,1.767926,
0,p,1,1286,11125,2.061362,
0,p,1,1352,5209,6.615969,
0,p,1,1356,6256,7.837928,
0,p,1,1357,5588,9.177632,
0,p,1,6253,5868,9.845651,
0,p,1,3689,11507,8.812230,
0,p,1,1361,5728,9.659024,
0,p,1,1325,10853,7.717467,
0,p,1,1354,11173,5.988825,
0,p,1,1355,5219,6.822843,
0,p,1,1323,11161,4.966749,
0,p,1,1346,11172,4.909156,
0,p,1,1348,5210,5.676387,
0,p,1,1359,3001,7.604037,
0,p,1,3002,1358,7.188735,
0,p,1,1360,10850,8.206860,
0,p,1,1314,11146,2.850371,
0,p,1,1316,11148,3.468072,
0,p,1,1318,11160,4.192863,
0,p,1,8002,5113,3.765019,
0,p,1,8116,5736,3.153175,
0,p,1,1285,5018,1.700212,
0,p,1,1351,5209,6.618255,
0,p,1,1319,11146,2.408457,
0,p,1,1320,11148,3.444929,
0,p,1,1322,11160,3.857806,
0,p,1,1290,4952,2.645055,
0,p,1,1299,4958,3.866700,
0,p,1,1349,5210,5.614672,
0,p,1,1353,11172,4.874013,
0,p,1,1397,11261,8.616462,
0,p,1,1404,11257,9.324929,
0,p,1,1296,5240,4.346512,
0,p,1,5578,5436,0.984844,
0,p,1,1,5592,5.499404,
0,p,1,2,1,5.726522,
0,p,1,3,2,5.953641,
0,p,1,4,3,6.180760,
0,p,1,5,4,6.407879,
0,p,1,1358,5117,6.842649,
0,p,1,3000,1358,7.050301,
0,p,1,3001,3000,7.257952,
0,p,1,4156,10850,8.136560,
0,p,1,4804,5109,5.258058,
0,p,1,4952,5440,1.926198,
0,p,1,4958,5030,3.298700,
0,p,1,5009,5863,3.985786,
0,p,1,5010,4958,3.534567,
0,p,1,5017,5018,1.713953,
0,p,1,5018,5436,1.019069,
0,p,1,5022,11124,2.554286,
0,p,1,5027,5010,4.070058,
0,p,1,5030,10872,3.035217,
0,p,1,5103,5820,4.397230,
0,p,1,5106,4804,5.796817,
0,p,1,5109,11150,4.743093,
0,p,1,5112,11160,3.808650,
0,p,1,5113,11148,3.206557,
0,p,1,5114,5589,4.580035,
0,p,1,5117,5,6.634997,
0,p,1,5118,11255,7.224310,
0,p,1,5174,5587,8.739510,
0,p,1,5175,6185,8.378979,
0,p,1,5208,5209,6.512343,
0,p,1,5209,5211,5.897112,
0,p,1,5210,11172,4.954958,
0,p,1,5211,5210,5.363574,
0,p,1,5214,11261,7.344176,
0,p,1,5215,11183,7.465022,
0,p,1,5216,11507,9.149671,
0,p,1,5219,11173,6.157414,
0,p,1,5232,11182,6.428677,
0,p,1,5240,5010,3.759083,
0,p,1,5436,5577,0.311767,
0,p,1,5440,11125,1.191217,
0,p,1,5441,11126,2.352867,
0,p,1,5524,5022,2.885619,
0,p,1,5587,11259,8.246010,
0,p,1,5588,5215,7.761918,
0,p,1,5589,5112,4.186189,
0,p,1,5592,5114,5.272285,
0,p,1,5727,5118,7.434123,
0,p,1,5728,7984,9.147525,
0,p,1,5729,5175,8.842229,
0,p,1,5730,8172,7.911103,
0,p,1,5736,11146,2.404790,
0,p,1,5820,11147,3.319855,
0,p,1,5861,5441,2.531733,
0,p,1,5863,5524,3.668453,
0,p,1,5868,5174,9.063343,
0,p,1,6185,8172,8.171328,
0,p,1,6255,5215,8.512945,
0,p,1,6256,5232,7.063643,
0,p,1,6270,6273,6.990817,
0,p,1,6273,10851,6.520817,
0,p,1,7210,10854,7.617060,
0,p,1,7984,11489,7.927774,
0,p,1,8172,3001,7.465603,
0,p,1,10849,4156,8.373060,
0,p,1,10850,7210,7.711560,
0,p,1,10851,10852,6.405567,
0,p,1,10852,5106,5.934566,
0,p,1,10853,6270,7.242567,
0,p,1,10854,5118,7.452560,
0,p,1,10857,5587,8.582702,
0,p,1,10872,5861,2.732567,
0,p,1,11124,5017,2.321286,
0,p,1,11125,5436,0.729933,
0,p,1,11126,11127,2.154000,
0,p,1,11127,5440,1.624167,
0,p,1,11128,5030,3.313513,
0,p,1,11129,5027,4.306225,
0,p,1,11146,5017,2.062371,
0,p,1,11147,1319,2.754543,
0,p,1,11148,5736,2.722929,
0,p,1,11150,5027,4.562058,
0,p,1,11160,5113,3.511720,
0,p,1,11161,1322,4.620663,
0,p,1,11172,5112,4.189727,
0,p,1,11173,5114,5.068725,
0,p,1,11181,5211,6.196746,
0,p,1,11182,11181,6.324194,
0,p,1,11183,5232,7.059298,
0,p,1,11184,5588,8.193169,
0,p,1,11255,5117,6.865810,
0,p,1,11257,5175,8.908229,
0,p,1,11259,5214,7.561843,
0,p,1,11261,5208,6.870176,
0,p,1,11489,8172,7.722575,
0,p,1,11507,5175,8.586630,
0,p,1,11763,7210,7.803810,
0,p,1,11910,5118,7.563810,
