Unix Timestamp (local time),StationID,Total Flow_per_obs_interval,Avg Density,Avg Speed
03/31/2010 00:00,400009,33,0.0087,70.7
03/31/2010 00:00,400126,33,0.0102,71.3
03/31/2010 00:00,400176,60,0.0164,71.5
03/31/2010 00:00,400367,53,0.018,70.4
03/31/2010 00:00,400432,61,0.0165,70.9
03/31/2010 00:00,400679,60,0.0198,70.6
03/31/2010 00:00,400691,29,0.009,71.8
03/31/2010 00:00,400728,30,0.0111,71
03/31/2010 00:00,400803,27,0.009,71.6
03/31/2010 00:00,400808,56,0.0189,70.2
03/31/2010 00:00,401198,57,0.019,70.8
03/31/2010 00:00,401242,30,0.01,71
03/31/2010 00:05,400009,29,0.0078,70.1
03/31/2010 00:05,400126,34,0.0103,70.5
03/31/2010 00:05,400176,42,0.0119,70.7
03/31/2010 00:05,400367,49,0.0153,69
03/31/2010 00:05,400432,51,0.0138,70.1
03/31/2010 00:05,400679,54,0.0172,68.7
03/31/2010 00:05,400691,31,0.0092,70.4
03/31/2010 00:05,400728,26,0.0066,72.3
03/31/2010 00:05,400803,33,0.0113,68.3
03/31/2010 00:05,400808,48,0.0151,65.6
03/31/2010 00:05,401198,47,0.0149,69.4
03/31/2010 00:05,401242,29,0.0091,70.3
03/31/2010 00:10,400009,26,0.0065,70.1
03/31/2010 00:10,400126,29,0.0094,70.4
03/31/2010 00:10,400176,42,0.0127,69.6
03/31/2010 00:10,400367,46,0.0176,66.9
03/31/2010 00:10,400432,47,0.0131,69.2
03/31/2010 00:10,400679,51,0.0181,66.8
03/31/2010 00:10,400691,28,0.0088,70.1
03/31/2010 00:10,400728,24,0.0061,72.2
03/31/2010 00:10,400803,29,0.0101,65.6
03/31/2010 00:10,400808,45,0.0184,61.8
03/31/2010 00:10,401198,48,0.0171,67.1
03/31/2010 00:10,401242,31,0.0093,70.2
03/31/2010 00:15,400009,20,0.0056,69.1
03/31/2010 00:15,400126,21,0.0067,69.5
03/31/2010 00:15,400176,44,0.0129,68.6
03/31/2010 00:15,400367,41,0.014,65.7
03/31/2010 00:15,400432,49,0.0135,68.8
03/31/2010 00:15,400679,47,0.0148,66.7
03/31/2010 00:15,400691,19,0.0055,69.3
03/31/2010 00:15,400728,16,0.0057,70.1
03/31/2010 00:15,400803,12,0.0037,64.3
03/31/2010 00:15,400808,25,0.0084,59.3
03/31/2010 00:15,401198,48,0.0145,66.8
03/31/2010 00:15,401242,19,0.0063,69
03/31/2010 00:20,400009,22,0.0049,70.6
03/31/2010 00:20,400126,26,0.0092,67.9
03/31/2010 00:20,400176,40,0.0116,68.5
03/31/2010 00:20,400367,46,0.0154,64.2
03/31/2010 00:20,400432,44,0.0116,68.4
03/31/2010 00:20,400679,49,0.0156,65.2
03/31/2010 00:20,400691,21,0.0071,68.8
03/31/2010 00:20,400728,19,0.0082,70
03/31/2010 00:20,400803,20,0.0086,62.2
03/31/2010 00:20,400808,40,0.0167,56.2
03/31/2010 00:20,401198,45,0.0144,65.6
03/31/2010 00:20,401242,25,0.0072,69.2
03/31/2010 00:25,400009,18,0.0052,68.7
03/31/2010 00:25,400126,21,0.0071,67.5
03/31/2010 00:25,400176,40,0.0104,68.6
03/31/2010 00:25,400367,47,0.0141,64
03/31/2010 00:25,400432,48,0.0117,68.9
03/31/2010 00:25,400679,43,0.0139,63.8
03/31/2010 00:25,400691,21,0.0061,68.4
03/31/2010 00:25,400728,15,0.0033,70.4
03/31/2010 00:25,400803,17,0.0062,60.1
03/31/2010 00:25,400808,44,0.0147,53.5
03/31/2010 00:25,401198,47,0.0132,65.7
03/31/2010 00:25,401242,19,0.0055,68.6
03/31/2010 00:30,400009,17,0.0061,68
03/31/2010 00:30,400126,17,0.0067,66.5
03/31/2010 00:30,400176,42,0.0108,68.7
03/31/2010 00:30,400367,41,0.0132,64.6
03/31/2010 00:30,400432,46,0.0113,69.4
03/31/2010 00:30,400679,46,0.014,64.6
03/31/2010 00:30,400691,16,0.0059,67.7
03/31/2010 00:30,400728,14,0.0062,68
03/31/2010 00:30,400803,16,0.0068,57.4
03/31/2010 00:30,400808,40,0.0135,53.4
03/31/2010 00:30,401198,48,0.0133,66.6
03/31/2010 00:30,401242,17,0.0071,67.6
03/31/2010 00:35,400009,17,0.0067,67.2
03/31/2010 00:35,400126,20,0.0082,64.6
03/31/2010 00:35,400176,34,0.0108,67.2
03/31/2010 00:35,400367,36,0.0134,62.7
03/31/2010 00:35,400432,34,0.0105,68.5
03/31/2010 00:35,400679,37,0.0136,62.5
03/31/2010 00:35,400691,17,0.0068,65.9
03/31/2010 00:35,400728,20,0.0072,67.6
03/31/2010 00:35,400803,19,0.0088,55.8
03/31/2010 00:35,400808,34,0.0134,49.7
03/31/2010 00:35,401198,34,0.0121,64.9
03/31/2010 00:35,401242,17,0.0077,66.3
03/31/2010 00:40,400009,25,0.0085,68.2
03/31/2010 00:40,400126,23,0.0104,64.4
03/31/2010 00:40,400176,35,0.012,66.3
03/31/2010 00:40,400367,42,0.0141,61.3
03/31/2010 00:40,400432,37,0.0118,66.4
03/31/2010 00:40,400679,39,0.015,60.8
03/31/2010 00:40,400691,19,0.0071,66.2
03/31/2010 00:40,400728,20,0.0075,66.4
03/31/2010 00:40,400803,18,0.0071,54
03/31/2010 00:40,400808,45,0.0162,46.9
03/31/2010 00:40,401198,43,0.0152,63.3
03/31/2010 00:40,401242,22,0.0099,65.3
03/31/2010 00:45,400009,16,0.0043,66.8
03/31/2010 00:45,400126,19,0.0069,63.5
03/31/2010 00:45,400176,37,0.011,64.8
03/31/2010 00:45,400367,37,0.0131,59.8
03/31/2010 00:45,400432,38,0.0115,66.1
03/31/2010 00:45,400679,43,0.0146,59.6
03/31/2010 00:45,400691,16,0.0061,65.2
03/31/2010 00:45,400728,16,0.0041,67.5
03/31/2010 00:45,400803,17,0.0065,54.1
03/31/2010 00:45,400808,39,0.0131,46.1
03/31/2010 00:45,401198,42,0.0136,62.6
03/31/2010 00:45,401242,19,0.0056,65.3
03/31/2010 00:50,400009,20,0.0063,66.8
03/31/2010 00:50,400126,22,0.0095,62
03/31/2010 00:50,400176,38,0.0129,64.8
03/31/2010 00:50,400367,36,0.0132,60.7
03/31/2010 00:50,400432,42,0.0125,66.1
03/31/2010 00:50,400679,40,0.0149,60.1
03/31/2010 00:50,400691,21,0.0065,65.3
03/31/2010 00:50,400728,21,0.0059,66.5
03/31/2010 00:50,400803,20,0.0067,52.1
03/31/2010 00:50,400808,41,0.0144,46.2
