link_id,name,from_node_id,to_node_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,main_node_id,movement_str,NEMA_phase_number,geometry,
,SW:WAT->PMH,2372,517,,1,1,4.79129,1,65.0,1900.0,,,,"LINESTRING (-0.113110 51.503300, -0.170280 51.464190)"
,SW:WAT->PMH,517,2444,,1,1,3.88151,1,65.0,1900.0,,,,"LINESTRING (-0.170280 51.464190, -0.206370 51.421220)"
,SW:WAT->PMH,2444,1641,,1,1,3.62820,1,65.0,1900.0,,,,"LINESTRING (-0.206370 51.421220, -0.255940 51.404070)"
,SW:WAT->PMH,1641,2213,,1,1,3.41728,1,65.0,1900.0,,,,"LINESTRING (-0.255940 51.404070, -0.303960 51.392460)"
,SW:WAT->PMH,2213,2500,,1,1,18.23317,1,65.0,1900.0,,,,"LINESTRING (-0.303960 51.392460, -0.556960 51.318470)"
,SW:WAT->PMH,2500,878,,1,1,13.81141,1,65.0,1900.0,,,,"LINESTRING (-0.556960 51.318470, -0.755440 51.296690)"
,SW:WAT->PMH,878,348,,1,1,23.03571,1,65.0,1900.0,,,,"LINESTRING (-0.755440 51.296690, -1.087260 51.268360)"
,SW:WAT->PMH,348,1539,,1,1,13.38811,1,65.0,1900.0,,,,"LINESTRING (-1.087260 51.268360, -1.260680 51.182390)"
,SW:WAT->PMH,1539,2445,,1,1,8.95035,1,65.0,1900.0,,,,"LINESTRING (-1.260680 51.182390, -1.319700 51.067210)"
,SW:WAT->PMH,2445,2064,,1,1,3.16765,1,65.0,1900.0,,,,"LINESTRING (-1.319700 51.067210, -1.327770 51.022120)"
,SW:WAT->PMH,2064,825,,1,1,3.96840,1,65.0,1900.0,,,,"LINESTRING (-1.327770 51.022120, -1.350080 50.969250)"
,SW:WAT->PMH,825,1048,,1,1,4.61542,1,65.0,1900.0,,,,"LINESTRING (-1.350080 50.969250, -1.294500 50.932320)"
,SW:WAT->PMH,1048,306,,1,1,2.67450,1,65.0,1900.0,,,,"LINESTRING (-1.294500 50.932320, -1.259240 50.916450)"
,SW:WAT->PMH,306,901,,1,1,6.39075,1,65.0,1900.0,,,,"LINESTRING (-1.259240 50.916450, -1.192040 50.853030)"
,SW:WAT->PMH,901,1838,,1,1,4.69911,1,65.0,1900.0,,,,"LINESTRING (-1.192040 50.853030, -1.124240 50.848750)"
,SW:WAT->PMH,1838,596,,1,1,3.96474,1,65.0,1900.0,,,,"LINESTRING (-1.124240 50.848750, -1.067330 50.841920)"
