agent_id,seq_no,node_id,timestamp,timestamp_in_min,trip_time_in_min,travel_time_in_sec,waiting_time_in_simu_interval,x_coord,y_coord
0,1,1,T0705:06.000,425.10001,0.000000,600.0000,0,0.017882,-0.125179
0,2,3,T0715:06.000,435.10001,10.000000,600.0000,0,19.778254,14.806867
1,1,1,T0705:09.000,425.14999,0.000000,600.0000,0,0.017882,-0.125179
1,2,3,T0715:09.000,435.14999,10.000000,600.0000,0,19.778254,14.806867
2,1,1,T0705:12.249,425.20416,0.000000,600.0000,0,0.017882,-0.125179
2,2,3,T0715:12.249,435.20416,10.000000,600.0000,0,19.778254,14.806867
3,1,1,T0705:12.500,425.20834,0.000000,600.4999,1,0.017882,-0.125179
3,2,3,T0715:13.000,435.21667,10.008331,600.0000,0,19.778254,14.806867
4,1,1,T0705:15.499,425.25833,0.000000,600.0000,0,0.017882,-0.125179
4,2,3,T0715:15.499,435.25833,10.000000,600.0000,0,19.778254,14.806867
5,1,1,T0705:18.750,425.31250,0.000000,600.0000,0,0.017882,-0.125179
5,2,3,T0715:18.750,435.31250,10.000000,600.0000,0,19.778254,14.806867
6,1,1,T0705:19.000,425.31668,0.000000,600.0000,0,0.017882,-0.125179
6,2,3,T0715:19.000,435.31668,10.000000,600.0000,0,19.778254,14.806867
7,1,1,T0705:22.000,425.36667,0.000000,600.0000,0,0.017882,-0.125179
7,2,3,T0715:22.000,435.36667,10.000000,600.0000,0,19.778254,14.806867
8,1,1,T0705:25.250,425.42084,0.000000,600.0000,0,0.017882,-0.125179
8,2,3,T0715:25.250,435.42084,10.000000,600.0000,0,19.778254,14.806867
9,1,1,T0705:25.499,425.42499,0.000000,600.4999,1,0.017882,-0.125179
9,2,3,T0715:26.000,435.43332,10.008331,600.0000,0,19.778254,14.806867
10,1,1,T0705:28.500,425.47501,0.000000,600.0000,0,0.017882,-0.125179
10,2,3,T0715:28.500,435.47501,10.000000,600.0000,0,19.778254,14.806867
11,1,1,T0705:31.750,425.52917,0.000000,600.0000,0,0.017882,-0.125179
11,2,3,T0715:31.750,435.52917,10.000000,600.0000,0,19.778254,14.806867
12,1,1,T0705:32.000,425.53333,0.000000,600.0000,0,0.017882,-0.125179
12,2,3,T0715:32.000,435.53333,10.000000,600.0000,0,19.778254,14.806867
13,1,1,T0705:35.000,425.58334,0.000000,600.0000,0,0.017882,-0.125179
13,2,3,T0715:35.000,435.58334,10.000000,600.0000,0,19.778254,14.806867
14,1,1,T0705:38.250,425.63751,0.000000,600.0000,0,0.017882,-0.125179
14,2,3,T0715:38.250,435.63751,10.000000,600.0000,0,19.778254,14.806867
15,1,1,T0705:38.499,425.64166,0.000000,600.4999,1,0.017882,-0.125179
15,2,3,T0715:39.000,435.64999,10.008331,600.0000,0,19.778254,14.806867
16,1,1,T0705:41.500,425.69168,0.000000,600.0000,0,0.017882,-0.125179
16,2,3,T0715:41.500,435.69168,10.000000,600.0000,0,19.778254,14.806867
17,1,1,T0705:44.749,425.74582,0.000000,600.0000,0,0.017882,-0.125179
17,2,3,T0715:44.749,435.74582,10.000000,600.0000,0,19.778254,14.806867
18,1,1,T0705:45.000,425.75000,0.000000,600.0000,0,0.017882,-0.125179
18,2,3,T0715:45.000,435.75000,10.000000,600.0000,0,19.778254,14.806867
19,1,1,T0705:48.000,425.79999,0.000000,600.0000,0,0.017882,-0.125179
19,2,3,T0715:48.000,435.79999,10.000000,600.0000,0,19.778254,14.806867
20,1,1,T0705:51.249,425.85416,0.000000,600.0000,0,0.017882,-0.125179
20,2,3,T0715:51.249,435.85416,10.000000,600.0000,0,19.778254,14.806867
21,1,1,T0705:51.500,425.85834,0.000000,600.4999,1,0.017882,-0.125179
21,2,3,T0715:52.000,435.86667,10.008331,600.0000,0,19.778254,14.806867
22,1,1,T0705:54.750,425.91251,0.000000,600.0000,0,0.017882,-0.125179
