first_column,agent_id,o_zone_id,d_zone_id,path_id,display_code,impacted_flag,info_receiving_flag,diverted_flag,mode_type_no,mode_type,demand_period,volume,toll,departure_time,travel_time,distance_km,distance_mile,speed_kmph,speed_mph,waiting_time,max_link_waiting_time,max_wait_link,node_sequence,time_sequence,geometry
,0,1,2,0,0,0,0,0,0,auto,am,1,0,425.0000,20.1000,20.0000,12.4301,59.7015,37.1047,0.0,0.0,,1;3;2;,0705:06.000;0715:06.000;0725:06.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,1,1,2,0,0,0,0,0,0,auto,am,1,0,425.0529,20.0971,20.0000,12.4301,59.7100,37.1100,0.0,0.0,,1;3;2;,0705:09.000;0715:09.000;0725:09.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,2,1,2,0,0,0,0,0,0,auto,am,1,0,425.1057,20.0985,20.0000,12.4301,59.7061,37.1076,0.0,0.0,,1;3;2;,0705:12.249;0715:12.249;0725:12.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,3,1,2,0,0,0,0,0,0,auto,am,1,0,425.1086,20.1081,20.0000,12.4301,59.6774,37.0897,0.0,0.0,,1;3;2;,0705:12.500;0715:13.000;0725:13.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,4,1,2,0,0,0,0,0,0,auto,am,1,0,425.1614,20.0969,20.0000,12.4301,59.7106,37.1104,0.0,0.0,,1;3;2;,0705:15.499;0715:15.499;0725:15.499;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,5,1,2,0,0,0,0,0,0,auto,am,1,0,425.2143,20.0982,20.0000,12.4301,59.7067,37.1080,0.0,0.0,,1;3;2;,0705:18.750;0715:18.750;0725:18.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,6,1,2,0,0,0,0,0,0,auto,am,1,0,425.2171,20.0996,20.0000,12.4301,59.7028,37.1055,0.0,0.0,,1;3;2;,0705:19.000;0715:19.000;0725:19.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,7,1,2,0,0,0,0,0,0,auto,am,1,0,425.2700,20.0967,20.0000,12.4301,59.7113,37.1108,0.0,0.0,,1;3;2;,0705:22.000;0715:22.000;0725:22.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,8,1,2,0,0,0,0,0,0,auto,am,1,0,425.3228,20.0980,20.0000,12.4301,59.7073,37.1084,0.0,0.0,,1;3;2;,0705:25.250;0715:25.250;0725:25.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,9,1,2,0,0,0,0,0,0,auto,am,1,0,425.3257,20.1077,20.0000,12.4301,59.6787,37.0906,0.0,0.0,,1;3;2;,0705:25.499;0715:26.000;0725:26.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,10,1,2,0,0,0,0,0,0,auto,am,1,0,425.3785,20.0965,20.0000,12.4301,59.7119,37.1112,0.0,0.0,,1;3;2;,0705:28.500;0715:28.500;0725:28.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,11,1,2,0,0,0,0,0,0,auto,am,1,0,425.4314,20.0978,20.0000,12.4301,59.7080,37.1088,0.0,0.0,,1;3;2;,0705:31.750;0715:31.750;0725:31.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,12,1,2,0,0,0,0,0,0,auto,am,1,0,425.4342,20.0991,20.0000,12.4301,59.7041,37.1063,0.0,0.0,,1;3;2;,0705:32.000;0715:32.000;0725:32.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,13,1,2,0,0,0,0,0,0,auto,am,1,0,425.4871,20.0963,20.0000,12.4301,59.7125,37.1116,0.0,0.0,,1;3;2;,0705:35.000;0715:35.000;0725:35.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,14,1,2,0,0,0,0,0,0,auto,am,1,0,425.5399,20.0976,20.0000,12.4301,59.7086,37.1092,0.0,0.0,,1;3;2;,0705:38.250;0715:38.250;0725:38.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,15,1,2,0,0,0,0,0,0,auto,am,1,0,425.5428,20.1072,20.0000,12.4301,59.6800,37.0914,0.0,0.0,,1;3;2;,0705:38.499;0715:39.000;0725:39.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,16,1,2,0,0,0,0,0,0,auto,am,1,0,425.5956,20.0961,20.0000,12.4301,59.7132,37.1120,0.0,0.0,,1;3;2;,0705:41.500;0715:41.500;0725:41.500;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,17,1,2,0,0,0,0,0,0,auto,am,1,0,425.6485,20.0974,20.0000,12.4301,59.7093,37.1096,0.0,0.0,,1;3;2;,0705:44.749;0715:44.749;0725:44.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,18,1,2,0,0,0,0,0,0,auto,am,1,0,425.6513,20.0987,20.0000,12.4301,59.7054,37.1071,0.0,0.0,,1;3;2;,0705:45.000;0715:45.000;0725:45.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,19,1,2,0,0,0,0,0,0,auto,am,1,0,425.7042,20.0958,20.0000,12.4301,59.7138,37.1124,0.0,0.0,,1;3;2;,0705:48.000;0715:48.000;0725:48.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,20,1,2,0,0,0,0,0,0,auto,am,1,0,425.7570,20.0972,20.0000,12.4301,59.7099,37.1100,0.0,0.0,,1;3;2;,0705:51.249;0715:51.249;0725:51.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,21,1,2,0,0,0,0,0,0,auto,am,1,0,425.7599,20.1068,20.0000,12.4301,59.6813,37.0922,0.0,0.0,,1;3;2;,0705:51.500;0715:52.000;0725:52.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,22,1,2,0,0,0,0,0,0,auto,am,1,0,425.8127,20.0998,20.0000,12.4301,59.7021,37.1051,0.0,0.0,,1;3;2;,0705:54.750;0715:54.750;0725:54.750;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,23,1,2,0,0,0,0,0,0,auto,am,1,0,425.8656,20.0969,20.0000,12.4301,59.7106,37.1104,0.0,0.0,,1;3;2;,0705:57.749;0715:57.749;0725:57.749;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,24,1,2,0,0,0,0,0,0,auto,am,1,0,425.8684,20.0983,20.0000,12.4301,59.7067,37.1079,0.0,0.0,,1;3;2;,0705:58.000;0715:58.000;0725:58.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,25,1,2,0,0,0,0,0,0,auto,am,1,0,425.9213,20.0996,20.0000,12.4301,59.7028,37.1055,0.0,0.0,,1;3;2;,0706:01.250;0716:01.250;0726:01.250;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,26,1,2,0,0,0,0,0,0,auto,am,1,0,425.9741,20.0967,20.0000,12.4301,59.7112,37.1108,0.0,0.0,,1;3;2;,0706:04.249;0716:04.249;0726:04.249;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
,27,1,2,0,0,0,0,0,0,auto,am,1,0,425.9770,20.1064,20.0000,12.4301,59.6826,37.0930,0.0,0.0,,1;3;2;,0706:04.500;0716:05.000;0726:05.000;,"LINESTRING (0.017882 -0.125179, 19.778254 14.806867, 40.253933 0.053648)"
