iteration,agent_type,zone_id,node_id,d_zone_id,connected_flag,pred,label_cost,pred_link_cost,x_coord,y_coord,geometry
0,b,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
0,d,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
0,w,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
1,b,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
1,d,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
1,w,1,1,-1,1,-1,0.000170,0.000170,-96.770420,43.612828,"LINESTRING (-96.770420 43.612828,-96.770420 43.612828)"
0,b,1,2,-1,1,1,0.027442,0.027273,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
0,d,1,2,-1,1,1,0.006170,0.006000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
0,w,1,2,-1,1,1,0.075170,0.075000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
1,b,1,2,-1,1,1,0.027442,0.027273,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
1,d,1,2,-1,1,1,0.006170,0.006000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
1,w,1,2,-1,1,1,0.075170,0.075000,-96.711251,43.605813,"LINESTRING (-96.711251 43.605813,-96.770420 43.612828)"
0,b,1,3,-1,1,1,0.018352,0.018182,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
0,d,1,3,-1,1,1,0.004170,0.004000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
0,w,1,3,-1,1,1,0.050170,0.050000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
1,b,1,3,-1,1,1,0.018352,0.018182,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
1,d,1,3,-1,1,1,0.004170,0.004000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
1,w,1,3,-1,1,1,0.050170,0.050000,-96.774303,43.572962,"LINESTRING (-96.774303 43.572962,-96.770420 43.612828)"
0,b,1,4,-1,1,3,0.036533,-0.013636,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
0,d,1,4,-1,1,3,0.008170,-0.042000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
0,w,1,4,-1,1,3,0.100170,0.050000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
1,b,1,4,-1,1,3,0.036533,-0.013636,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
1,d,1,4,-1,1,3,0.008170,-0.042000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
1,w,1,4,-1,1,3,0.100170,0.050000,-96.747168,43.563654,"LINESTRING (-96.747168 43.563654,-96.774303 43.572962)"
0,b,1,5,-1,1,4,0.045624,-0.054545,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
0,d,1,5,-1,1,4,0.010170,-0.090000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
0,w,1,5,-1,1,4,0.125170,0.025000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
1,b,1,5,-1,1,4,0.045624,-0.054545,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
1,d,1,5,-1,1,4,0.010170,-0.090000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
1,w,1,5,-1,1,4,0.125170,0.025000,-96.731569,43.564034,"LINESTRING (-96.731569 43.564034,-96.747168 43.563654)"
0,b,1,6,-1,1,2,0.050170,-0.025000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
0,d,1,6,-1,1,2,0.011170,-0.064000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
0,w,1,6,-1,1,2,0.137670,0.062500,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
1,b,1,6,-1,1,2,0.050170,-0.025000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
1,d,1,6,-1,1,2,0.011170,-0.064000,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
1,w,1,6,-1,1,2,0.137670,0.062500,-96.711644,43.587586,"LINESTRING (-96.711644 43.587586,-96.711251 43.605813)"
0,b,1,7,-1,1,8,0.072897,-0.089773,-96.693423,43.563844,"LINESTRING (-96.693423 43.563844,-96.711382 43.562324)"
