od_no,o_zone_id,d_zone_id,o_zone_agent_type_cover_flag,d_zone_agent_type_cover_flag,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,sensor_flag,toll,travel_time,VDF_travel_time,travel_time_without_access_link,distance_km
1,1,2,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,3.6000,3.6000,0.0060
2,1,3,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,2.4000,2.4000,0.0040
3,1,4,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,4.8000,4.8000,0.0080
4,1,5,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,6.0000,6.0000,0.0100
5,1,6,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,6.6000,6.6000,0.0110
6,1,7,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,9.6000,9.6000,0.0160
7,1,8,0,0,0,0,p,AM,800.00,800,1,0,0.0,450.0,7.8000,7.8000,0.0130
8,1,9,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,9.0000,9.0000,0.0150
9,1,10,0,0,0,0,p,AM,1300.00,1300,1,0,0.0,449.3,10.8000,10.8000,0.0180
10,1,11,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,8.4000,8.4000,0.0140
11,1,12,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,4.8000,4.8000,0.0080
12,1,13,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,6.6000,6.6000,0.0110
13,1,14,0,0,0,0,p,AM,300.00,300,1,0,0.0,448.4,10.8000,10.8000,0.0180
14,1,15,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,13.8000,13.8000,0.0230
15,1,16,0,0,0,0,p,AM,500.00,500,1,0,0.0,450.0,10.8000,10.8000,0.0180
16,1,17,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,12.0000,12.0000,0.0200
17,1,18,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,10.8000,10.8000,0.0180
18,1,19,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,13.2000,13.2000,0.0220
19,1,20,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,13.2000,13.2000,0.0220
20,1,21,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,10.8000,10.8000,0.0180
21,1,22,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,12.0000,12.0000,0.0200
22,1,23,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,10.2000,10.2000,0.0170
23,1,24,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.0000,9.0000,0.0150
24,2,1,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,3.6000,3.6000,0.0060
25,2,3,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,6.0000,6.0000,0.0100
26,2,4,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.6000,6.6000,0.0110
27,2,5,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,5.4000,5.4000,0.0090
28,2,6,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,3.0000,3.0000,0.0050
29,2,7,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,6.0000,6.0000,0.0100
30,2,8,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,4.2000,4.2000,0.0070
31,2,9,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
32,2,10,0,0,0,0,p,AM,600.00,600,1,0,0.0,450.0,9.6000,9.6000,0.0160
33,2,11,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,10.2000,10.2000,0.0170
34,2,12,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,8.4000,8.4000,0.0140
35,2,13,0,0,0,0,p,AM,300.00,300,1,0,0.0,450.0,10.2000,10.2000,0.0170
36,2,14,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,12.6000,12.6000,0.0210
37,2,15,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,11.4000,11.4000,0.0190
38,2,16,0,0,0,0,p,AM,400.00,400,1,0,0.0,450.1,7.2000,7.2000,0.0120
39,2,17,0,0,0,0,p,AM,200.00,200,1,0,0.0,450.1,8.4000,8.4000,0.0140
40,2,19,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.6000,9.6000,0.0160
41,2,20,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,9.6000,9.6000,0.0160
42,2,22,0,0,0,0,p,AM,100.00,100,1,0,0.0,450.2,12.6000,12.6000,0.0210
43,3,1,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,2.4000,2.4000,0.0040
44,3,2,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,6.0000,6.0000,0.0100
45,3,4,0,0,0,0,p,AM,200.00,200,1,0,0.0,445.3,2.4000,2.4000,0.0040
46,3,5,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,3.6000,3.6000,0.0060
47,3,6,0,0,0,0,p,AM,300.00,300,1,0,0.0,445.2,6.0000,6.0000,0.0100
48,3,7,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,9.0000,9.0000,0.0150
49,3,8,0,0,0,0,p,AM,200.00,200,1,0,0.0,445.3,7.2000,7.2000,0.0120
50,3,9,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,6.6000,6.6000,0.0110
51,3,10,0,0,0,0,p,AM,300.00,300,1,0,0.0,445.2,8.4000,8.4000,0.0140
52,3,11,0,0,0,0,p,AM,300.00,300,1,0,0.0,445.2,6.0000,6.0000,0.0100
53,3,12,0,0,0,0,p,AM,200.00,200,1,0,0.0,445.3,2.4000,2.4000,0.0040
54,3,13,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,4.2000,4.2000,0.0070
55,3,14,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,8.4000,8.4000,0.0140
56,3,15,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,11.4000,11.4000,0.0190
57,3,16,0,0,0,0,p,AM,200.00,200,1,0,0.0,445.3,10.2000,10.2000,0.0170
58,3,17,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,11.4000,11.4000,0.0190
59,3,22,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,9.6000,9.6000,0.0160
60,3,23,0,0,0,0,p,AM,100.00,100,1,0,0.0,445.4,7.8000,7.8000,0.0130
61,4,1,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,4.8000,4.8000,0.0080
62,4,2,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,6.6000,6.6000,0.0110
63,4,3,0,0,0,0,p,AM,200.00,200,1,0,0.0,447.7,2.4000,2.4000,0.0040
64,4,5,0,0,0,0,p,AM,500.00,500,1,0,0.0,449.1,1.2000,1.2000,0.0020
65,4,6,0,0,0,0,p,AM,400.00,400,1,0,0.0,448.9,3.6000,3.6000,0.0060
66,4,7,0,0,0,0,p,AM,400.00,400,1,0,0.0,448.9,6.6000,6.6000,0.0110
67,4,8,0,0,0,0,p,AM,700.00,700,1,0,0.0,449.3,4.8000,4.8000,0.0080
68,4,9,0,0,0,0,p,AM,700.00,700,1,0,0.0,449.3,4.2000,4.2000,0.0070
69,4,10,0,0,0,0,p,AM,1200.00,1200,1,0,0.0,449.6,6.0000,6.0000,0.0100
