first_column,path_no,o_zone_id,d_zone_id,od_pair,o_sindex,d_sindex,within_OD_path_no,path_id,activity_zone_sequence,activity_mode_type_sequence,information_type,mode_type,demand_period,volume,OD_relative_gap,travel_time,path_gap,preload_volume,volume_before_odme,volume_after_odme,volume_diff_odme,rt_new_path_flag,volume_before_sa,volume_after_sa,volume_diff_sa,simu_volume,subarea_flag,OD_impact_flag,at_OD_impact_flag,path_impact_flag,toll,#_of_nodes,#_of_sensor_links,#_of_SA_links,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,distance_mile,node_sequence,link_sequence, geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence,
,1,1,4,0,3,1->4,0,1,,,0,auto,am,500.0000,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0085,0.0085,0.0080,0.0050,1;3;4;,2;6;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654)",,,0.004;0.004;,0.004;0.004;,
,2,1,5,0,4,1->5,0,1,,,0,auto,am,200.0000,0.0000,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0110,0.0110,0.0100,0.0062,1;3;4;5;,2;6;9;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034)",,,0.004;0.004;0.002;,0.004;0.004;0.002;,
,3,1,6,0,5,1->6,0,1,,,0,auto,am,300.0000,0.0000,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0132,0.0132,0.0110,0.0068,1;2;6;,1;4;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586)",,,0.006;0.005;,0.006;0.005;,
,4,1,7,0,6,1->7,0,1,,,0,auto,am,433.1895,0.0340,0.0378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0378,0.0378,0.0160,0.0099,1;2;6;8;7;,1;4;16;20;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.693423 43.563844)",,,0.006;0.005;0.002;0.003;,0.006;0.005;0.002;0.003;,
,5,1,7,0,6,1->7,1,2,,,0,auto,am,46.3160,0.0340,0.0479,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0479,0.0479,0.0280,0.0174,1;3;4;5;9;8;7;,2;6;9;13;24;20;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324, -96.693423 43.563844)",,,0.004;0.004;0.002;0.005;0.010;0.003;,0.004;0.004;0.002;0.005;0.010;0.003;,
,6,1,7,0,6,1->7,2,3,,,0,auto,am,20.4945,0.0340,0.0477,0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0477,0.0477,0.0230,0.0143,1;2;6;8;16;18;7;,1;4;16;22;50;54;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324, -96.711382 43.546744, -96.694078 43.546744, -96.693423 43.563844)",,,0.006;0.005;0.002;0.005;0.003;0.002;,0.006;0.005;0.002;0.005;0.003;0.002;,
,7,1,8,0,7,1->8,0,1,,,0,auto,am,725.8944,0.0284,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0305,0.0305,0.0130,0.0081,1;2;6;8;,1;4;16;,"LINESTRING (-96.770420 43.612828, -96.711251 43.605813, -96.711644 43.587586, -96.711382 43.562324)",,,0.006;0.005;0.002;,0.006;0.005;0.002;,
,8,1,8,0,7,1->8,1,2,,,0,auto,am,74.1056,0.0284,0.0405,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0405,0.0405,0.0250,0.0155,1;3;4;5;9;8;,2;6;9;13;24;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.711382 43.562324)",,,0.004;0.004;0.002;0.005;0.010;,0.004;0.004;0.002;0.005;0.010;,
,9,1,9,0,8,1->9,0,1,,,0,auto,am,483.7563,0.0324,0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0226,0.0226,0.0150,0.0093,1;3;4;5;9;,2;6;9;13;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596)",,,0.004;0.004;0.002;0.005;,0.004;0.004;0.002;0.005;,
,10,1,9,0,8,1->9,1,2,,,0,auto,am,16.2437,0.0324,0.0414,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0414,0.0414,0.0220,0.0137,1;3;12;11;10;9;,2;7;36;32;26;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731241 43.548596)",,,0.004;0.004;0.006;0.005;0.003;,0.004;0.004;0.006;0.005;0.003;,
,11,1,10,0,9,1->10,0,1,,,0,auto,am,1047.1772,0.0346,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0297,0.0297,0.0180,0.0112,1;3;4;5;9;10;,2;6;9;13;25;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271)",,,0.004;0.004;0.002;0.005;0.003;,0.004;0.004;0.002;0.005;0.003;,
,12,1,10,0,9,1->10,1,2,,,0,auto,am,252.8228,0.0346,0.0344,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0344,0.0344,0.0190,0.0118,1;3;12;11;10;,2;7;36;32;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271)",,,0.004;0.004;0.006;0.005;,0.004;0.004;0.006;0.005;,
,13,1,11,0,10,1->11,0,1,,,0,auto,am,402.2119,0.0476,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0180,0.0180,0.0140,0.0087,1;3;4;11;,2;6;10;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131)",,,0.004;0.004;0.006;,0.004;0.004;0.006;,
,14,1,11,0,10,1->11,1,2,,,0,auto,am,97.7881,0.0476,0.0222,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0222,0.0222,0.0140,0.0087,1;3;12;11;,2;7;36;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131)",,,0.004;0.004;0.006;,0.004;0.004;0.006;,
,15,1,12,0,11,1->12,0,1,,,0,auto,am,200.0000,0.0000,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,3,0,0,0.0,0.0081,0.0081,0.0080,0.0050,1;3;12;,2;7;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941)",,,0.004;0.004;,0.004;0.004;,
,16,1,13,0,12,1->13,0,1,,,0,auto,am,500.0000,0.0000,0.0112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,4,0,0,0.0,0.0112,0.0112,0.0110,0.0068,1;3;12;13;,2;7;37;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707)",,,0.004;0.004;0.003;,0.004;0.004;0.003;,
,17,1,14,0,13,1->14,0,1,,,0,auto,am,154.3173,0.1310,0.0322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0322,0.0322,0.0180,0.0112,1;3;4;11;14;,2;6;10;34;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.746841 43.544131, -96.751035 43.529306)",,,0.004;0.004;0.006;0.004;,0.004;0.004;0.006;0.004;,
,18,1,14,0,13,1->14,2,3,,,0,auto,am,43.6729,0.1310,0.0365,0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,5,0,0,0.0,0.0365,0.0365,0.0180,0.0112,1;3;12;11;14;,2;7;36;34;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306)",,,0.004;0.004;0.006;0.004;,0.004;0.004;0.006;0.004;,
,19,1,14,0,13,1->14,1,2,,,0,auto,am,102.0099,0.1310,0.0452,0.0126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0452,0.0452,0.0210,0.0131,1;3;12;13;24;23;14;,2;7;37;39;76;71;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.793377 43.490707, -96.749200 43.503164, -96.750904 43.514858, -96.751035 43.529306)",,,0.004;0.004;0.003;0.004;0.002;0.004;,0.004;0.004;0.003;0.004;0.002;0.004;,
,20,1,15,0,14,1->15,1,2,,,0,auto,am,362.1690,0.0530,0.0442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,7,0,0,0.0,0.0442,0.0442,0.0240,0.0149,1;3;4;5;9;10;15;,2;6;9;13;25;28;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.747168 43.563654, -96.731569 43.564034, -96.731241 43.548596, -96.731438 43.545271, -96.731504 43.529401)",,,0.004;0.004;0.002;0.005;0.003;0.006;,0.004;0.004;0.002;0.005;0.003;0.006;,
,21,1,15,0,14,1->15,2,3,,,0,auto,am,47.2395,0.0530,0.0489,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0489,0.0489,0.0250,0.0155,1;3;12;11;10;15;,2;7;36;32;28;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.731438 43.545271, -96.731504 43.529401)",,,0.004;0.004;0.006;0.005;0.006;,0.004;0.004;0.006;0.005;0.006;,
,22,1,15,0,14,1->15,3,4,,,0,auto,am,46.1972,0.0530,0.0497,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,1,0,0,0,0.0,6,0,0,0.0,0.0497,0.0497,0.0230,0.0143,1;3;12;11;14;15;,2;7;36;34;41;,"LINESTRING (-96.770420 43.612828, -96.774303 43.572962, -96.780137 43.543941, -96.746841 43.544131, -96.751035 43.529306, -96.731504 43.529401)",,,0.004;0.004;0.006;0.004;0.005;,0.004;0.004;0.006;0.004;0.005;,
