first_column,scenario_index,scenario_name,demand_period,mode_type,od_volume,number_of_routes,total_distance_km,total_distance_mile,total_travel_time_min,total_co2_kg,total_nox_kg,avg_distance_km,avg_distance_mile,avg_travel_time_in_min,avg_co2_kg,avg_nox_kg,
,0,25nb,am,auto,360600,2242,4.62964e+06,2.87734e+06,1.45247e+08,0,0,12.8387,7.97931,402.793,0,0,
,0,25nb,am,bike,360600,1996,978369,608060,1.86157e+12,0,0,2.71317,1.68625,5.16243e+06,0,0,
,0,25nb,am,walk,360600,1999,2.27259e+06,1.41242e+06,1.63754e+12,0,0,6.30223,3.91686,4.54115e+06,0,0,
,0,25nb,md,auto,0,0,0,0,0,0,0,0,0,0,0,0,
,0,25nb,md,bike,0,0,0,0,0,0,0,0,0,0,0,0,
,0,25nb,md,walk,0,0,0,0,0,0,0,0,0,0,0,0,
,0,25nb,pm,auto,0,0,0,0,0,0,0,0,0,0,0,0,
,0,25nb,pm,bike,0,0,0,0,0,0,0,0,0,0,0,0,
,0,25nb,pm,walk,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,am,auto,721200,2178,9.24329e+06,5.74474e+06,5.67801e+09,0,0,12.8165,7.96553,7873.01,0,0,
,1,2040,am,bike,721200,2054,2.83326e+06,1.76088e+06,1.21608e+14,0,0,3.92853,2.4416,1.68619e+08,0,0,
,1,2040,am,walk,721200,2056,5.18851e+06,3.22468e+06,8.8889e+13,0,0,7.19427,4.47127,1.23252e+08,0,0,
,1,2040,md,auto,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,md,bike,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,md,walk,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,pm,auto,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,pm,bike,0,0,0,0,0,0,0,0,0,0,0,0,
,1,2040,pm,walk,0,0,0,0,0,0,0,0,0,0,0,0,
