[PROCESS INFO] Step 0: reading scenario_index_list.csv
[STATUS INFO] scenario_index=0,scenario_name=,no_build
[STATUS INFO] scenario_index=1,scenario_name=,build
[PROCESS INFO] Step 1.1: Reading demand_period.csv...
,demand_period= 1, am,time_period=0700_0800
[PROCESS INFO] Step 1.2: Reading file mode_type.csv...
mode_type =, auto, real time info flag = 0
[PROCESS INFO] Step 1.25: Reading optional activity_travel_pattern.csv...
link_type =, 1, link_type_name = highway
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 2, link_type_name = arterial
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 3, link_type_name = collector
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 100, link_type_name = connector
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 4, link_type_name = bikeonly
,mode_type= auto,cap= 2000,free_speed=60
link_type =, 5, link_type_name = walkonly
,mode_type= auto,cap= 2000,free_speed=60
, number of activity nodes defined in node.csv=, 387
, number of boundary activity nodes defined in node.csv=, 0
[PROCESS INFO] Step 1: read network node.csv, link.csv, zone.csv 
,# of nodes = ,1320
,# of links =,2950
,# of zones =,387
,summary by multi-modal and demand types,demand_period,mode_type,# of links,avg_free_speed_mph,avg_free_speed_kmph,total_length_in_km,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,am,auto,2950,60,96.5604,13187,4.6718e+07,15836.6,4470.17,
,summary by road link type,link_type,link_type_name,# of links,avg_free_speed_mph,avg_free_speed_kmph,,total_length,total_capacity,avg_lane_capacity,avg_length_in_meter,
,,-1,,0,0,0,0,0,0,0,
,,0,,0,0,0,0,0,0,0,
,,1,highway,2950,60,96.5604,13187,4.6718e+07,15836.6,4470.17,
,,2,arterial,0,0,0,0,0,0,0,
,,3,collector,0,0,0,0,0,0,0,
,,4,bikeonly,0,0,0,0,0,0,0,
,,5,walkonly,0,0,0,0,0,0,0,
,,100,connector,0,0,0,0,0,0,0,
pre-read demand_file_list.csv.
,first stage scanning
,# of inside zones = 387, total_related_demand = 1.26091e+06
,# inside_zone_count = 387, total_related_demand_from_internal zones = 1.26091e+06
,# related_external_zone_count = 0, external related demand = 0
,# related_external_zone_count_with_significant_volume = 0
,second stage cut off, cut off zone = all inside zones + significant external related zones 
,# cut off zone size = 100, total_related_demand_from_external_cutoff  = 0
,cut off volume threshold to determine significance = 0, external origin zones with volume larger than this threadshold will be kept
, remaining external related demand percentage after the cut off  = 0 %
[PROCESS INFO] Step 2.1: read demand, defined in demand_file_list.csv.
[STATUS INFO] reading demand file for scenario index = 0
[STATUS INFO] reading demand file for scenario index = 1
,total demand =, 1.13725e+06
,from_flag,to_flag,volume
,from_flag,to_flag,volume
FOCUSING internal step 1: Focus-subarea Approach,0=not related, 1=significantly related external but not in cutoff, 2= cut-off external, 3= inside
,0,1,2,3,
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,2.27411e+06
FOCUSING internal step 2: Origin-based flow extraction,top 10 OD,rank,o,d,inside_flag_o,inside_flag_d,mode_type,departure_time,volume
,,1,357,356,3,3,auto,am,5042.63
,,2,5,17,3,3,auto,am,3059.89
,,3,356,357,3,3,auto,am,2941.18
,,4,358,357,3,3,auto,am,1694.31
,,5,29,28,3,3,auto,am,1623.8
,,6,359,356,3,3,auto,am,1583.31
,,7,346,351,3,3,auto,am,1552.85
,,8,5,18,3,3,auto,am,1505.47
,,9,3,5,3,3,auto,am,1434.07
,,10,360,357,3,3,auto,am,1363.12
,,11,357,360,3,3,auto,am,1336.37
,,12,14,5,3,3,auto,am,1309.8
,,13,357,358,3,3,auto,am,1290.11
,,14,14,17,3,3,auto,am,1249.3
,,15,23,16,3,3,auto,am,1233.59
,,16,5,16,3,3,auto,am,1232.86
,,17,209,210,3,3,auto,am,1217.92
,,18,3,17,3,3,auto,am,1200.94
,,19,15,17,3,3,auto,am,1196.07
,,20,351,346,3,3,auto,am,1143.37
,,21,5,3,3,3,auto,am,1116.04
,,22,5,14,3,3,auto,am,1094.16
,,23,17,18,3,3,auto,am,1088.73
,,24,14,16,3,3,auto,am,1074.72
,,25,13,16,3,3,auto,am,1068.96
,,26,15,16,3,3,auto,am,1052.77
,,27,16,18,3,3,auto,am,1040.1
,,28,29,23,3,3,auto,am,1024.56
,,29,362,360,3,3,auto,am,1022.03
,,30,18,17,3,3,auto,am,1018.5
,,31,115,356,3,3,auto,am,1001.42
,,32,4,5,3,3,auto,am,994.14
,,33,35,29,3,3,auto,am,993.83
,,34,39,41,3,3,auto,am,980.55
,,35,356,115,3,3,auto,am,978.97
,,36,356,36,3,3,auto,am,959.75
,,37,110,356,3,3,auto,am,958.06
,,38,10,14,3,3,auto,am,947.14
,,39,17,5,3,3,auto,am,940.16
,,40,16,17,3,3,auto,am,932.72
,,41,31,29,3,3,auto,am,907.24
,,42,27,23,3,3,auto,am,906.32
,,43,26,23,3,3,auto,am,905.9
,,44,18,16,3,3,auto,am,901.33
,,45,358,360,3,3,auto,am,899.53
,,46,28,23,3,3,auto,am,889.52
,,47,148,147,3,3,auto,am,873.02
,,48,34,29,3,3,auto,am,871.77
,,49,17,16,3,3,auto,am,869.41
,,50,85,13,3,3,auto,am,858.39
,,51,80,78,3,3,auto,am,856.34
,,52,359,357,3,3,auto,am,855.08
,,53,28,29,3,3,auto,am,843.17
,,54,85,16,3,3,auto,am,836.73
,,55,7,14,3,3,auto,am,834.81
,,56,14,10,3,3,auto,am,830.75
,,57,5,4,3,3,auto,am,828.44
,,58,287,288,3,3,auto,am,821.92
,,59,359,360,3,3,auto,am,816.78
,,60,4,17,3,3,auto,am,815.46
,,61,14,7,3,3,auto,am,811.45
,,62,14,15,3,3,auto,am,809.4
,,63,98,91,3,3,auto,am,799.65
,,64,3,4,3,3,auto,am,785.32
,,65,29,17,3,3,auto,am,784.94
,,66,23,18,3,3,auto,am,784.82
,,67,158,148,3,3,auto,am,781.05
,,68,190,191,3,3,auto,am,776.83
,,69,29,18,3,3,auto,am,776.56
,,70,288,287,3,3,auto,am,774.38
,,71,23,28,3,3,auto,am,768.6
