name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,restricted_turn_nodes_p1,link_type_name,link_type,geometry,allowed_uses,VDF_fftt1,VDF_cap1
,1,,1,3,1,1950.4,3,60,1900,4,,1,"LINESTRING (-112.2164130 33.6539270, -112.2031120 33.6675560)",,,
,2,,3,4,1,1891.96,3,60,1800,,,1,"LINESTRING (-112.2031120 33.6675560, -112.1827040 33.6676370)",,,
,3,,4,5,1,1815.98,3,60,1800,,,1,"LINESTRING (-112.1827040 33.6676370, -112.1631160 33.6677720)",,,
,4,,5,6,1,2078.07,3,60,1800,,,1,"LINESTRING (-112.1631160 33.6677720, -112.1407010 33.6679260)",,,
,5,,6,7,1,1890.79,3,60,1800,,,1,"LINESTRING (-112.1407010 33.6679260, -112.1203060 33.6680670)",,,
,6,,7,8,1,2059.34,3,60,1800,,,1,"LINESTRING (-112.1203060 33.6680670, -112.0980930 33.6682200)",,,
,7,,8,9,1,1703.61,3,60,1800,,,1,"LINESTRING (-112.0980930 33.6682200, -112.0797170 33.6683470)",,,
,8,,10,11,1,1497.71,2,60,1800,,,1,"LINESTRING (-112.0623510 33.6684660, -112.0461960 33.6685780)",,,
,9,,11,12,1,987.38,3,60,1800,,,1,"LINESTRING (-112.0461960 33.6685780, -112.0386420 33.6623000)",,,
,10,,9,10,1,1609.97,2,60,1800,,,1,"LINESTRING (-112.0797170 33.6683470, -112.0623510 33.6684660)",,,
,11,,1,14,1,768.43,3,60,1800,,,1,"LINESTRING (-112.2164130 33.6539270, -112.2113330 33.6484510)",,,
,12,,14,15,1,633.21,3,60,1800,,,1,"LINESTRING (-112.2113330 33.6484510, -112.2070350 33.6440130)",,,
,13,,15,16,1,680.98,3,60,1800,,,1,"LINESTRING (-112.2070350 33.6440130, -112.2023290 33.6392980)",,,
,14,,16,17,1,1067.52,3,60,1800,,,1,"LINESTRING (-112.2023290 33.6392980, -112.1908180 33.6393780)",,,
,15,,17,18,1,1011.24,3,60,1800,,,1,"LINESTRING (-112.1908180 33.6393780, -112.1799140 33.6394530)",,,
,16,,18,19,1,1086.16,3,60,1800,,,1,"LINESTRING (-112.1799140 33.6394530, -112.1682020 33.6395340)",,,
,17,,19,20,1,1198.56,3,60,1800,,,1,"LINESTRING (-112.1682020 33.6395340, -112.1552780 33.6396230)",,,
,18,,20,21,1,1123.63,3,60,1800,,,1,"LINESTRING (-112.1552780 33.6396230, -112.1431620 33.6397060)",,,
,19,,21,22,1,1329.69,3,60,1800,,,1,"LINESTRING (-112.1431620 33.6397060, -112.1288240 33.6398050)",,,
,20,,22,23,1,1065,3,60,1800,,,1,"LINESTRING (-112.1288240 33.6398050, -112.1173400 33.6398700)",,,
,21,,23,24,1,1369.48,3,60,1800,,,1,"LINESTRING (-112.1173400 33.6398700, -112.1025730 33.6399860)",,,
