od_seq_id,o_zone_id,d_zone_id,o_sindex,d_sindex,o_district_id,d_district_id,mode_type,demand_period,connectivity_flag,s_x_coord,s_y_coord,t_x_coord,t_y_coord,volume_s0,avg_tt_s0,avg_distance_km_s0,avg_cost_s0,
1,1,2,0,1,20,1,auto,am,0,-111.942300,40.624038,-111.943739,40.609520,30.37,1.80,1.90,0.00,
1,1,3,0,2,20,13,auto,am,0,-111.942300,40.624038,-111.943604,40.587762,61.24,0.83,0.91,0.00,
1,1,4,0,3,20,16,auto,am,0,-111.942300,40.624038,-111.944442,40.573253,2.94,1.19,1.23,0.00,
1,1,5,0,4,20,16,auto,am,0,-111.942300,40.624038,-111.943762,40.562247,21.04,1.69,1.77,0.00,
1,1,6,0,5,20,19,auto,am,0,-111.942300,40.624038,-111.938753,40.552997,28.05,1.83,1.91,0.00,
1,1,7,0,6,20,19,auto,am,0,-111.942300,40.624038,-111.929153,40.555761,19.72,2.74,2.38,0.00,
1,1,8,0,7,20,10,auto,am,0,-111.942300,40.624038,-111.902749,40.557151,3.13,3.09,2.08,0.00,
1,1,9,0,8,20,2,auto,am,0,-111.942300,40.624038,-111.899113,40.558973,134.56,3.89,2.56,0.00,
1,1,10,0,9,20,2,auto,am,0,-111.942300,40.624038,-111.897106,40.569721,8.83,5.44,3.33,0.00,
1,1,11,0,10,20,11,auto,am,0,-111.942300,40.624038,-111.901030,40.587971,179.59,2.70,1.74,0.00,
1,1,12,0,11,20,3,auto,am,0,-111.942300,40.624038,-111.906610,40.605960,4.81,4.13,2.57,0.00,
1,1,13,0,12,20,4,auto,am,0,-111.942300,40.624038,-111.902804,40.610814,91.11,5.01,4.19,0.00,
1,1,14,0,13,20,5,auto,am,0,-111.942300,40.624038,-111.901884,40.620828,111.77,4.48,3.69,0.00,
1,1,15,0,14,20,6,auto,am,0,-111.942300,40.624038,-111.910059,40.625783,41.89,2.37,2.00,0.00,
1,1,16,0,15,20,7,auto,am,0,-111.942300,40.624038,-111.929192,40.626782,52.29,1.14,0.96,0.00,
1,1,17,0,16,20,17,auto,am,0,-111.942300,40.624038,-111.933868,40.616707,40.78,1.80,1.54,0.00,
1,1,18,0,17,20,8,auto,am,0,-111.942300,40.624038,-111.934202,40.630776,39.70,1.25,0.86,0.00,
1,1,19,0,18,20,9,auto,am,0,-111.942300,40.624038,-111.933963,40.567876,51.70,1.33,1.33,0.00,
1,1,20,0,19,20,9,auto,am,0,-111.942300,40.624038,-111.924114,40.567177,38.51,2.75,2.10,0.00,
1,1,21,0,20,20,10,auto,am,0,-111.942300,40.624038,-111.913648,40.554715,103.12,4.62,2.90,0.00,
1,1,24,0,21,20,11,auto,am,0,-111.942300,40.624038,-111.907451,40.592344,135.12,17.35,6.83,0.00,
1,1,25,0,22,20,12,auto,am,0,-111.942300,40.624038,-111.923428,40.584054,9.19,1.99,1.54,0.00,
1,1,26,0,23,20,12,auto,am,0,-111.942300,40.624038,-111.921418,40.591609,18.13,1.54,1.26,0.00,
1,1,27,0,24,20,13,auto,am,0,-111.942300,40.624038,-111.943605,40.584092,27.98,0.96,0.98,0.00,
1,1,28,0,25,20,14,auto,am,0,-111.942300,40.624038,-111.911824,40.577722,41.41,2.76,1.74,0.00,
1,1,31,0,27,20,1,auto,am,0,-111.942300,40.624038,-111.944074,40.606326,55.35,2.86,2.70,0.00,
1,1,32,0,28,20,15,auto,am,0,-111.942300,40.624038,-111.943375,40.616454,36.91,1.74,1.50,0.00,
1,1,33,0,29,20,16,auto,am,0,-111.942300,40.624038,-111.943535,40.568001,16.03,1.31,1.32,0.00,
1,1,34,0,30,20,1,auto,am,0,-111.942300,40.624038,-111.934408,40.607297,90.96,2.38,2.40,0.00,
1,1,35,0,31,20,17,auto,am,0,-111.942300,40.624038,-111.924502,40.617134,13.23,1.62,1.28,0.00,
1,1,36,0,32,20,4,auto,am,0,-111.942300,40.624038,-111.908054,40.616174,21.04,2.44,1.99,0.00,
1,1,37,0,33,20,18,auto,am,0,-111.942300,40.624038,-111.934352,40.576870,42.17,1.11,1.13,0.00,
1,1,38,0,34,20,19,auto,am,0,-111.942300,40.624038,-111.936589,40.553565,36.80,2.16,2.02,0.00,
1,1,39,0,35,20,14,auto,am,0,-111.942300,40.624038,-111.908153,40.571760,14.60,4.06,2.63,0.00,
1,1,40,0,36,20,17,auto,am,0,-111.942300,40.624038,-111.915638,40.613722,6.49,2.76,2.28,0.00,
1,1,41,0,37,20,20,auto,am,0,-111.942300,40.624038,-111.938760,40.630427,177.83,0.59,0.58,0.00,
1,2,1,1,0,1,20,auto,am,0,-111.943739,40.609520,-111.942300,40.624038,30.34,4.49,4.75,0.00,
1,2,3,1,2,1,13,auto,am,0,-111.943739,40.609520,-111.943604,40.587762,45.86,1.88,2.03,0.00,
1,2,4,1,3,1,16,auto,am,0,-111.943739,40.609520,-111.944442,40.573253,2.20,0.93,0.95,0.00,
1,2,5,1,4,1,16,auto,am,0,-111.943739,40.609520,-111.943762,40.562247,15.76,1.38,1.42,0.00,
1,2,6,1,5,1,19,auto,am,0,-111.943739,40.609520,-111.938753,40.552997,21.01,1.51,1.56,0.00,
1,2,7,1,6,1,19,auto,am,0,-111.943739,40.609520,-111.929153,40.555761,14.77,2.88,2.27,0.00,
1,2,8,1,7,1,10,auto,am,0,-111.943739,40.609520,-111.902749,40.557151,2.34,2.99,1.86,0.00,
1,2,9,1,8,1,2,auto,am,0,-111.943739,40.609520,-111.899113,40.558973,100.77,3.77,2.30,0.00,
1,2,10,1,9,1,2,auto,am,0,-111.943739,40.609520,-111.897106,40.569721,6.61,7.16,3.97,0.00,
1,2,11,1,10,1,11,auto,am,0,-111.943739,40.609520,-111.901030,40.587971,134.48,4.59,2.67,0.00,
