name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry,production,attraction
,1,1,,,690309,1976022,,1,1
,2,2,,,683649,1973025,,1,1
,3,3,,,693306,1963368,,1,1
,4,4,,,686313,1958373,,1,1
,5,5,,,696636,1946718,,1,1
,6,6,,,671328,1968030,,1,1
,7,7,,,676323,1957041,,1,1
,8,8,,,655677,1967031,,1,1
,9,9,,,649350,1952712,,1,1
,10,10,,,665667,1949049,,1,1
,11,11,,,666333,1933398,,1,1
,12,12,,,676323,1935396,,1,1
,13,13,,,677988,1924407,,1,1
,14,14,,,679653,1945719,,1,1
,15,15,,,688977,1936062,,1,1
,16,16,,,692307,1925739,,1,1
,17,17,,,700965,1935396,,1,1
,18,18,,,702963,1927404,,1,1
,19,19,,,704295,1919412,,1,1
,20,20,,,678654,1912752,,1,1
,21,21,,,691641,1917747,,1,1
,22,22,,,705294,1911087,,1,1
,23,23,,,693972,1906425,,1,1
,24,24,,,679653,1904760,,1,1
,25,25,,,664002,1893771,,1,1
,26,26,,,680652,1891107,,1,1
,27,27,,,694971,1889775,,1,1
,28,28,,,707625,1900098,,1,1
,29,29,,,710955,1884447,,1,1
,30,30,,,680319,1878120,,1,1
,31,31,,,696303,1873791,,1,1
,32,32,,,689643,1861803,,1,1
,33,33,,,705627,1851147,,1,1
,34,34,,,705960,1865133,,1,1
,35,35,,,722610,1876122,,1,1
,36,36,,,723609,1856142,,1,1
,37,37,,,625374,1965033,,1,1
,38,38,,,550449,2013984,,1,1
,39,39,,,590076,2021310,,1,1
,40,40,,,573426,2021310,,1,1
,41,41,,,590076,2005326,,1,1
,42,42,,,573759,2005326,,1,1
,43,43,,,622377,2020977,,1,1
,44,44,,,606060,2021310,,1,1
,45,45,,,622377,2005326,,1,1
,46,46,,,605727,2004660,,1,1
,47,47,,,654345,2021310,,1,1
,48,48,,,638361,2021310,,1,1
,49,49,,,654012,2005326,,1,1
,50,50,,,638361,2005326,,1,1
,51,51,,,667998,2020311,,1,1
,52,52,,,683982,2001330,,1,1
,53,53,,,670329,2004660,,1,1
,54,54,,,551448,1990341,,1,1
,55,55,,,534798,1989675,,1,1
,56,56,,,551448,1976022,,1,1
,57,57,,,534798,1976022,,1,1
,58,58,,,582750,1991340,,1,1
,59,59,,,567099,1990674,,1,1
,60,60,,,582750,1977687,,1,1
,61,61,,,567099,1977021,,1,1
,62,62,,,613386,1991673,,1,1
,63,63,,,598068,1991340,,1,1
,64,64,,,613386,1978020,,1,1
,65,65,,,598401,1977687,,1,1
,66,66,,,644688,1992006,,1,1
,67,67,,,629037,1992006,,1,1
,68,68,,,644688,1979352,,1,1
